item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",1,TC-Register-001,0.7820531129837036,"test case id: tc-register-001 title: user registers with valid credentials module: register source pages: 1 preconditions: user is on the start page. test data: valid username and password. test steps: 1. user clicks on the ""register"" button. 2. user enters a valid username and password. 3. user submits the form. expected result: user is redirected to the success page."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",2,TC-Login-001,0.76837158203125,"test case id: tc-login-001 title: user logs in with valid credentials module: login source pages: 3 preconditions: user is on the start page. test data: valid username and password. test steps: 1. user clicks on the ""login"" button. 2. user enters a valid username and password. 3. user submits the form. expected result: user is redirected to the homepage."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",3,TC-Homepage-001,0.7683562636375427,test case id: tc-homepage-001 title: user navigates to the homepage successfully module: homepage source pages: 1 preconditions: test data: test steps: 1. user opens the application. 2. user clicks on the homepage link. expected result: user is redirected to the homepage.
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",4,TC-PlaceOrder-001,0.7462877035140991,"test case id: tc-placeorder-001 title: user places an order with valid product details module: place order source pages: 2 preconditions: user is logged in. test data: valid product details. test steps: 1. user clicks on the ""place order"" button. 2. user selects a valid product. 3. user submits the order. expected result: order is placed successfully, and user is redirected to the homepage."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",5,TC-Checkout-001,0.7409034967422485,"test case id: tc-checkout-001 title: user checks out with valid cart contents module: checkout source pages: 4 preconditions: user has items in the cart. test data: valid cart contents. test steps: 1. user clicks on the ""checkout"" button. 2. user reviews the cart contents. 3. user proceeds to checkout. expected result: checkout process is completed successfully, and user is redirected to the homepage."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",6,TC-Register-002,0.7336394786834717,"test case id: tc-register-002 title: user registers with invalid credentials module: register source pages: 1 preconditions: user is on the start page. test data: invalid username or password (e.g., empty fields). test steps: 1. user clicks on the ""register"" button. 2. user enters invalid username or password. 3. user submits the form. expected result: error message displayed indicating invalid input."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",7,TC-Logout-001,0.7332777380943298,"test case id: tc-logout-001 title: user logs out successfully module: logout source pages: 3 preconditions: user is logged in. test data: test steps: 1. user clicks on the ""logout"" button. expected result: user is redirected to the start page."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",8,TC-Login-002,0.7322251796722412,"test case id: tc-login-002 title: user logs in with invalid credentials module: login source pages: 3 preconditions: user is on the start page. test data: invalid username or password (e.g., empty fields). test steps: 1. user clicks on the ""login"" button. 2. user enters invalid username or password. 3. user submits the form. expected result: error message displayed indicating invalid input."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",9,TC-AddToCart-001,0.7154241800308228,"test case id: tc-addtocart-001 title: user adds a product to the cart with valid details module: add to cart source pages: 4 preconditions: user is logged in. test data: valid product details. test steps: 1. user clicks on the ""add to cart"" button. 2. user selects a valid product. 3. user adds the product to the cart. expected result: product is added to the cart successfully, and user is redirected to the homepage."
flow,"user -> start — type=message; label=""start""; explanation=""user initiates the process""",10,TC-PlaceOrder-002,0.713191568851471,"test case id: tc-placeorder-002 title: user places an order with invalid product details module: place order source pages: 2 preconditions: user is logged in. test data: invalid product details (e.g., empty fields). test steps: 1. user clicks on the ""place order"" button. 2. user selects an invalid product. 3. user submits the order. expected result: error message displayed indicating invalid input."
