"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Login-001","Verify user can login with valid credentials","Login","3, 10","User has registered an account","Valid email and password","1. Navigate to the login screen
2. Enter the valid email and password
3. Tap the login button","User is successfully logged in and redirected to the home screen"
"TC-Registration-002","Verify user can register a new account","Registration","3, 9","None","Valid email, password, and personal information","1. Navigate to the registration screen
2. Enter the required personal information
3. Enter a valid email and password
4. Tap the register button","User is successfully registered and redirected to the login screen"
"TC-ObjectCreation-003","Verify user can create an object for rent","Object Creation","3, 12","User is logged in","Object details and rental price","1. Navigate to the create object screen
2. Enter the object details and rental price
3. Tap the create button","The object is successfully created and added to the user's inventory"
"TC-ObjectRequest-004","Verify user can request an object for rent","Object Request","3, 13","User is logged in and there are available objects to rent","Object ID","1. Navigate to the object list screen
2. Select an object to rent
3. Tap the request button","The object is successfully requested and the user is notified of the request status"
"TC-ServiceCreation-005","Verify user can create a service","Service Creation","3, 14","User is logged in","Service details and price","1. Navigate to the create service screen
2. Enter the service details and price
3. Tap the create button","The service is successfully created and added to the user's services"
"TC-ServiceRequest-006","Verify user can request a service","Service Request","3, 15","User is logged in and there are available services to request","Service ID","1. Navigate to the service list screen
2. Select a service to request
3. Tap the request button","The service is successfully requested and the user is notified of the request status"
"TC-ApplicationStart-007","Start Application","Application Start","7, 9","Application is installed on the smartphone.","None","1. Tap on the application icon on the smartphone screen.","The application starts."
"TC-UserRegistration-008","User Registration","User Registration","7, 8, 9, 10","Application is installed on the smartphone.","Username, email, password","1. Tap on the registration/login screen.
2. Enter the required information (username, email, password).
3. Tap on the submit button.","The user profile is created successfully."
"TC-UserLogin-009","User Login","User Login","7, 9, 10","Application is installed on the smartphone and the user has already registered.","Username, password","1. Tap on the registration/login screen.
2. Enter the username and password.
3. Tap on the login button.","The user connects with success."
"TC-UserProfileModificat-010","Modify User Profile","User Profile Modification","7, 10, 11","The user has logged in.","New email, new password","1. Tap on the profile modification option.
2. Enter the new email and password.
3. Tap on the save button.","The user's information is updated successfully."
"TC-UserGuide-011","User Guide","User Guide","7, 11, 12","The user has logged in.","None","1. Tap on the user guide option.","The user is provided with the necessary information to use the application."
"TC-ObjectCreation-012","Create Rentable Object","Object Creation","7, 12","The user has logged in.","Object details","1. Tap on the object creation option.
2. Enter the object details.
3. Tap on the save button.","The object is created and added to the user's catalog."
"TC-Eliminationofobject-013","Elimination of an object from rental","Elimination of object","13,14","Account created and logged in
An object in rental exists","An object in rental","1. Click on the ""Elimina oggetto"" button","The object is removed from the rental"
"TC-Requestforobject-014","Request for an object in rental","Request for object","14","Account created and logged in","An object in rental","1. Click on the appropriate button to request an object in rental","The user chooses the object they want to rent"
"TC-Creationofservice-015","Creation of a service","Creation of service","15","Account created and logged in","Service details","1. Click on the button to add a service","The user can specify their availability for the service"
"TC-Eliminationofservice-016","Elimination of a service","Elimination of service","15,16","Account created and logged in
The user has created a service they want to eliminate","Service details","1. Click on the service elimination button","The service is eliminated"
"TC-Requestforservice-017","Request for a service","Request for service","16","Account created and logged in","Service details","1. Click on the ""Richiedi servizio"" button","The user requests a service from another user"
"TC-Creationofannounceme-018","Creation of an announcement","Creation of announcement","17","Account created and logged in","Service or object details","1. Click on the button for creating an announcement","The user can create an announcement for a service or an object they need"
"TC-Eliminationofannounc-019","Elimination of an announcement","Elimination of announcement","17,18","Account created and logged in
The user has created an announcement they want to eliminate","Announcement details","1. Click on the announcement elimination button","The announcement is eliminated"
"TC-Logout-020","Logout","Logout","18","Account created and logged in","None","1. Click on the ""Logout"" button","The user logs out of the application"
"TC-LocationAccess-021","Location Access","Location Access","19,20","User is logged in","None","1. Navigate to the location access page
2. Select ""Current Location"" or ""Enter Location""","User's location is updated or user can enter a location"
"TC-AppEntry-022","App Entry","App Entry","20","User is logged in","None","1. Navigate to the app entry page
2. Select a section to access","User is taken to the selected section"
"TC-Offers-023","View Offers","Offers","20,21","User is logged in","None","1. Navigate to the offers page
2. Verify that offers are displayed","Offers are displayed and can be filtered by category"
"TC-Search-024","Search Offers","Search","21","User is logged in","Search term","1. Navigate to the search page
2. Enter the search term
3. Click on the ""Search"" button","Relevant offers are displayed"
"TC-OfferPosting-025","Post Offer","Offer Posting","22,23","User is logged in","Offer details (title, description, location, price, category, images)","1. Navigate to the offer posting page
2. Enter the offer details
3. Click on the ""Post"" button","Offer is posted and visible to other users"
"TC-Request-026","Create Request","Request","23,24","User is logged in","Request details (title, description, location, category)","1. Navigate to the request creation page
2. Enter the request details
3. Click on the ""Create"" button","Request is created and visible to other users"
"TC-Contact-027","Contact","Contact","24","User is logged in","None","1. Navigate to the contact page
2. Verify that contact options are available","Contact options are available for users to communicate with each other"
"TC-Profile-028","View Profile","Profile","23","User is logged in","None","1. Navigate to the profile page
2. Verify that user's information is displayed","User's information is displayed and can be edited by the user"
"TC-Profile-029","Edit Profile","Profile","23","User is logged in","Updated user details","1. Navigate to the profile page
2. Edit user details
3. Click on the ""Save"" button","User details are updated"
"TC-Balance-030","Check Balance","Balance","23","User is logged in","None","1. Navigate to the profile page
2. Verify that the user's balance is displayed","User's balance is displayed correctly"
"TC-AccountManagement-031","Account Cancellation","Account Management","25,26","User is logged in","User account details","1. Navigate to account settings
2. Select 'Cancel Account' option
3. Confirm account cancellation","User account and related data are removed from the database, improving system performance."
"TC-ApplicationManagemen-032","Application Disinstallation","Application Management","26,27","User has installed the application","None","1. Access device settings
2. Select 'Applications' or 'Apps'
3. Find the application in the list
4. Select 'Uninstall' or 'Delete' option","Application data is automatically deleted from the device."
"TC-ErrorHandling-033","Error Notification","Error Handling","26","User is using the application","None","1. Perform an incorrect action in the application","User is notified with a user-friendly error message explaining the issue."
"TC-SystemRequirements-034","Compatibility","System Requirements","25,27","Device is running Android version 6.0 or above","None","1. Install the application on the device","Application is installed and runs without errors."
"TC-SystemRequirements-035","Application Performance","System Requirements","27","Device has at least 200 MB of free memory","None","1. Launch the application
2. Perform various actions within the application","Application responds within 4 seconds, providing a smooth and responsive user experience."
"TC-UserInterface-036","User-Friendliness","User Interface","27","User is interacting with the application","None","1. Attempt to perform an action in the application","User can complete the action with a maximum of 3 incorrect attempts, indicating an intuitive and user-friendly interface."
