src_tc_id,best_ref_tc_id,best_similarity,src_embedding_text,best_ref_embedding_text
TC-User-001,TC-UI-005,0.8639904260635376,"source: design test case id: tc-user-001 title: user creation process module: user source files or pages: 1, 2 covered methods: preconditions: no existing user with the same username test data: - username: testuser - name: john - surname: doe - brand photo: valid image url - company name: testcompany - user number: 1234567890 test steps: 1. user attempts to create a new account with provided details. 2. system verifies if the user already exists. 3. system creates a new user entry if the user does not exist. 4. system verifies the user's localization. expected result: - new user created successfully. - user localization verified successfully. - user redirected to home state. unit: project:","source: code test case id: tc-ui-005 title: user name is displayed module: ui source files or pages: [""src/main/res/layout/cardview_layout.xml""] covered methods: [""oncreateview""] preconditions: [""the user name is not null""] test data: [""the user name is not null""] test steps: [""verify that the user name is displayed""] expected result: [""the user name is displayed""] unit: src_12 project: app"
TC-User-002,TC-UI-005,0.8698383569717407,"source: design test case id: tc-user-002 title: user creation failure module: user source files or pages: 1, 2 covered methods: preconditions: existing user with the same username test data: - username: testuser - name: john - surname: doe - brand photo: valid image url - company name: testcompany - user number: 1234567890 test steps: 1. user attempts to create a new account with provided details. 2. system verifies if the user already exists. 3. system detects that the user already exists. expected result: - error message indicating that the user already exists. - user not created. - user remains on the creation page. unit: project:","source: code test case id: tc-ui-005 title: user name is displayed module: ui source files or pages: [""src/main/res/layout/cardview_layout.xml""] covered methods: [""oncreateview""] preconditions: [""the user name is not null""] test data: [""the user name is not null""] test steps: [""verify that the user name is displayed""] expected result: [""the user name is displayed""] unit: src_12 project: app"
TC-User-003,TC-AccountScreen-005,0.8544939756393433,source: design test case id: tc-user-003 title: localization verification success module: user source files or pages: 2 covered methods: preconditions: user created successfully test data: - valid location data test steps: 1. user completes the user creation process. 2. system verifies the user's localization. 3. system confirms successful localization verification. expected result: - user localization verified successfully. - user redirected to home state. unit: project:,"source: code test case id: tc-accountscreen-005 title: verify location is displayed module: accountscreen source files or pages: [""src/main/res/layout/fragment_account_screen.xml""] covered methods: [""oncreateview""] preconditions: [""user is logged in""] test data: [""location is visible""] test steps: [""verify location is displayed""] expected result: [""location is displayed""] unit: main_05 project: app"
TC-User-004,TC-AccountScreen-005,0.8469987511634827,source: design test case id: tc-user-004 title: localization verification failure module: user source files or pages: 2 covered methods: preconditions: user created successfully test data: - invalid location data test steps: 1. user completes the user creation process. 2. system verifies the user's localization. 3. system detects invalid localization data. expected result: - error message indicating failed localization verification. - user remains on the creation page. unit: project:,"source: code test case id: tc-accountscreen-005 title: verify location is displayed module: accountscreen source files or pages: [""src/main/res/layout/fragment_account_screen.xml""] covered methods: [""oncreateview""] preconditions: [""user is logged in""] test data: [""location is visible""] test steps: [""verify location is displayed""] expected result: [""location is displayed""] unit: main_05 project: app"
TC-Post-001,TC-<Module>-###,0.8397105932235718,"source: design test case id: tc-post-001 title: create post module: post source files or pages: 1 covered methods: preconditions: user logged in test data: - content: ""hello world!"" - author: testuser - post date: current date test steps: 1. user logs in. 2. user navigates to the post creation page. 3. user enters post content and submits. 4. system creates a new post with the provided details. expected result: - post created successfully. - post displayed in the user's feed. unit: project:","source: code test case id: tc-<module>-### title: ... module: ... source files or pages: [""src/main/res/layout/message_item_sent.xml""] covered methods: [""methodname1"", ""methodname2""] preconditions: [""...""] test data: [""...""] test steps: [""...""] expected result: [""...""] unit: main_05 project: app"
TC-Post-002,TC-<Module>-###,0.8251004815101624,"source: design test case id: tc-post-002 title: add comment to post module: postcomment source files or pages: 1, 4 covered methods: preconditions: post created and user logged in test data: - comment: ""great post!"" - author: testuser - post id: 1 test steps: 1. user logs in. 2. user navigates to the post feed. 3. user clicks on a specific post. 4. user adds a comment to the post. 5. system saves the comment. expected result: - comment added successfully. - comment displayed under the post. unit: project:","source: code test case id: tc-<module>-### title: ... module: ... source files or pages: [""src/main/res/layout/message_item_sent.xml""] covered methods: [""methodname1"", ""methodname2""] preconditions: [""...""] test data: [""...""] test steps: [""...""] expected result: [""...""] unit: main_05 project: app"
TC-Post-003,TC-<Module>-###,0.8552029132843018,"source: design test case id: tc-post-003 title: edit post module: post source files or pages: 1 covered methods: preconditions: post created and user logged in test data: - original content: ""hello world!"" - updated content: ""updated post!"" - author: testuser - post id: 1 test steps: 1. user logs in. 2. user navigates to the post feed. 3. user clicks on the post to edit. 4. user updates the post content. 5. user submits the updated post. expected result: - post updated successfully. - updated post content displayed in the feed. unit: project:","source: code test case id: tc-<module>-### title: ... module: ... source files or pages: [""src/main/res/layout/message_item_sent.xml""] covered methods: [""methodname1"", ""methodname2""] preconditions: [""...""] test data: [""...""] test steps: [""...""] expected result: [""...""] unit: main_05 project: app"
TC-Post-004,TC-<Module>-###,0.8017735481262207,source: design test case id: tc-post-004 title: delete post module: post source files or pages: 1 covered methods: preconditions: post created and user logged in test data: - post id: 1 test steps: 1. user logs in. 2. user navigates to the post feed. 3. user clicks on the post to delete. 4. user confirms deletion. expected result: - post deleted successfully. - post no longer displayed in the feed. unit: project:,"source: code test case id: tc-<module>-### title: ... module: ... source files or pages: [""src/main/res/layout/message_item_sent.xml""] covered methods: [""methodname1"", ""methodname2""] preconditions: [""...""] test data: [""...""] test steps: [""...""] expected result: [""...""] unit: main_05 project: app"
TC-Chat-001,TC-ChatListScreen-001,0.9001122713088989,source: design test case id: tc-chat-001 title: join chat list module: chatlist source files or pages: 1 covered methods: preconditions: user logged in test data: - chat list id: 1 test steps: 1. user logs in. 2. user navigates to the chat list section. 3. user joins a chat list. expected result: - user joined the chat list successfully. - user can see the chat list in their participation list. unit: project:,"source: code test case id: tc-chatlistscreen-001 title: test case 1: verify that the chat list is displayed correctly module: chatlistscreen source files or pages: [""src/main/java/com/example/reuse/screens/chatlistscreen.java""] covered methods: [""oncreateview""] preconditions: [""the user is logged in and has at least one chat""] test data: [""a list of chats""] test steps: [""the user navigates to the chat list screen""] expected result: [""the chat list is displayed correctly with the correct number of chats""] unit: main_05 project: app"
TC-Chat-002,TC-<Module>-###,0.8850067853927612,"source: design test case id: tc-chat-002 title: send message in chat module: chat source files or pages: 1 covered methods: preconditions: user logged in and joined a chat list test data: - message: ""hi there!"" - chat id: 1 test steps: 1. user logs in. 2. user navigates to the chat list. 3. user sends a message in the chat. expected result: - message sent successfully. - message displayed in the chat. unit: project:","source: code test case id: tc-<module>-### title: ... module: ... source files or pages: [""src/main/java/com/example/reuse/models/chat.java""] covered methods: [""methodname1"", ""methodname2""] preconditions: [""...""] test data: [""...""] test steps: [""...""] expected result: [""...""] unit: models_07 project: app"
TC-Chat-003,TC-ChatListScreen-004,0.8946659564971924,source: design test case id: tc-chat-003 title: leave chat list module: chatlist source files or pages: 1 covered methods: preconditions: user logged in and joined a chat list test data: - chat list id: 1 test steps: 1. user logs in. 2. user navigates to the chat list section. 3. user leaves the chat list. expected result: - user left the chat list successfully. - user no longer sees the chat list in their participation list. unit: project:,"source: code test case id: tc-chatlistscreen-004 title: test case 4: verify that the chat list is updated correctly when a chat is removed module: chatlistscreen source files or pages: [""src/main/java/com/example/reuse/screens/chatlistscreen.java""] covered methods: [""newloadusers""] preconditions: [""the user is logged in and has at least one chat""] test data: [""a chat to be removed""] test steps: [""the user removes the chat""] expected result: [""the chat list is updated correctly and no longer shows the removed chat""] unit: main_05 project: app"
TC-Menu-001,TC-AccountScreen-003,0.8774861097335815,source: design test case id: tc-menu-001 title: navigate to profile module: profile source files or pages: 3 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the home screen. 3. user clicks on their profile picture. expected result: - user navigated to the profile screen successfully. - user's profile information displayed. unit: project:,"source: code test case id: tc-accountscreen-003 title: verify profile image is displayed module: accountscreen source files or pages: [""src/main/res/layout/fragment_account_screen.xml""] covered methods: [""oncreateview""] preconditions: [""user is logged in""] test data: [""profile image is visible""] test steps: [""verify profile image is displayed""] expected result: [""profile image is displayed""] unit: main_05 project: app"
TC-Menu-002,TC-MyProductsScreen-004,0.8678351044654846,source: design test case id: tc-menu-002 title: navigate to notifications module: notificationsection source files or pages: 3 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the home screen. 3. user clicks on the notification icon. expected result: - user navigated to the notificationsection screen successfully. - user's notifications displayed. unit: project:,"source: code test case id: tc-myproductsscreen-004 title: test menubutton image button module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""menubutton""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the menubutton image button""] test steps: [""the user clicks the menubutton image button""] expected result: [""the user is navigated to the menu screen""] unit: main_05 project: app"
TC-Menu-003,TC-MyProductsScreen-004,0.8830924034118652,source: design test case id: tc-menu-003 title: navigate to map module: mapfullscreenapi source files or pages: 3 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the home screen. 3. user interacts with the map. expected result: - user navigated to the mapfullscreenapi screen successfully. - interactive map displayed. unit: project:,"source: code test case id: tc-myproductsscreen-004 title: test menubutton image button module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""menubutton""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the menubutton image button""] test steps: [""the user clicks the menubutton image button""] expected result: [""the user is navigated to the menu screen""] unit: main_05 project: app"
TC-Menu-004,TC-MENU-001,0.916109561920166,source: design test case id: tc-menu-004 title: navigate to menu module: menu source files or pages: 3 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the home screen. 3. user interacts with the menu. expected result: - user navigated to the menu screen successfully. - menu options displayed. unit: project:,"source: code test case id: tc-menu-001 title: test bottom navigation menu item click module: menu source files or pages: [""src/main/res/menu/bottom_navigation_menu.xml""] covered methods: [""onnavigationitemselected""] preconditions: [""the bottom navigation menu is displayed""] test data: [""click on each menu item""] test steps: [""click on each menu item in the bottom navigation menu""] expected result: [""the menu item is selected and the corresponding fragment is displayed""] unit: main_05 project: app"
TC-Menu-005,TC-ChatListScreen-001,0.8788928985595703,source: design test case id: tc-menu-005 title: navigate to chat section module: chatsection source files or pages: 3 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the profile screen. 3. user clicks on the chat icon. expected result: - user navigated to the chatsection screen successfully. - user's chats displayed. unit: project:,"source: code test case id: tc-chatlistscreen-001 title: test case 1: verify that the chat list is displayed correctly module: chatlistscreen source files or pages: [""src/main/java/com/example/reuse/screens/chatlistscreen.java""] covered methods: [""oncreateview""] preconditions: [""the user is logged in and has at least one chat""] test data: [""a list of chats""] test steps: [""the user navigates to the chat list screen""] expected result: [""the chat list is displayed correctly with the correct number of chats""] unit: main_05 project: app"
TC-Menu-006,TC-MyProductsScreen-004,0.8543577194213867,"source: design test case id: tc-menu-006 title: navigate to general dashboard module: generaldashboard source files or pages: 3, 4 covered methods: preconditions: user logged in test data: - user id: 1 test steps: 1. user logs in. 2. user navigates to the chatsection screen. 3. user clicks on the general dashboard icon. expected result: - user navigated to the generaldashboard screen successfully. - user's general dashboard displayed. unit: project:","source: code test case id: tc-myproductsscreen-004 title: test menubutton image button module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""menubutton""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the menubutton image button""] test steps: [""the user clicks the menubutton image button""] expected result: [""the user is navigated to the menu screen""] unit: main_05 project: app"
TC-BusinessProfile-001,TC-MyProductsScreen-002,0.8538986444473267,source: design test case id: tc-businessprofile-001 title: access business profile module: businessprofile source files or pages: 5 covered methods: preconditions: user logged in test data: - business profile id: 1 test steps: 1. user logs in. 2. user searches for a result item. 3. user clicks on the business profile link. expected result: - user navigated to the businessprofile screen successfully. - business profile information displayed. unit: project:,"source: code test case id: tc-myproductsscreen-002 title: test search_card card view module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""search_card""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the search_card card view""] test steps: [""the user clicks the search_card card view""] expected result: [""the user is navigated to the search screen""] unit: main_05 project: app"
TC-BusinessProfile-002,TC-MyProductsScreen-002,0.8406432271003723,source: design test case id: tc-businessprofile-002 title: access calendar from business profile module: calendar source files or pages: 5 covered methods: preconditions: user logged in and accessed a business profile test data: - business profile id: 1 test steps: 1. user logs in. 2. user accesses a business profile. 3. user clicks on the calendar link. expected result: - user navigated to the calendar screen successfully. - business profile calendar displayed. unit: project:,"source: code test case id: tc-myproductsscreen-002 title: test search_card card view module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""search_card""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the search_card card view""] test steps: [""the user clicks the search_card card view""] expected result: [""the user is navigated to the search screen""] unit: main_05 project: app"
TC-BusinessProfile-003,TC-MyProductsScreen-002,0.80815589427948,source: design test case id: tc-businessprofile-003 title: access write operation from business profile module: attendoperationdiscritturasuldb source files or pages: 5 covered methods: preconditions: user logged in and accessed a business profile test data: - business profile id: 1 test steps: 1. user logs in. 2. user accesses a business profile. 3. user clicks on the write operation link. expected result: - user navigated to the attendoperationdiscritturasuldb screen successfully. - write operation interface displayed. unit: project:,"source: code test case id: tc-myproductsscreen-002 title: test search_card card view module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""search_card""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the search_card card view""] test steps: [""the user clicks the search_card card view""] expected result: [""the user is navigated to the search screen""] unit: main_05 project: app"
TC-BusinessProfile-004,TC-ADD-007,0.8131444454193115,source: design test case id: tc-businessprofile-004 title: confirm successful operation from business profile module: confermariuscita source files or pages: 5 covered methods: preconditions: user logged in and accessed a business profile test data: - business profile id: 1 test steps: 1. user logs in. 2. user accesses a business profile. 3. user clicks on the confirm successful operation link. expected result: - user navigated to the confermariuscita screen successfully. - confirmation of successful operation displayed. unit: project:,"source: code test case id: tc-add-007 title: test case for descrizione_input edit text module: addproductscreen source files or pages: [""src/main/res/layout/fragment_add_product.xml""] covered methods: [""descrizione_input""] preconditions: [""the user is on the addproductscreen""] test data: [""the user has entered a valid product description""] test steps: [""the user enters a valid product description in the descrizione_input field"", ""the user clicks on the aggiungi button""] expected result: [""the product description is successfully saved in the database""] unit: src_12 project: app"
TC-SearchResults-001,TC-TUTORIAL-LIST-SCREEN-005,0.8856668472290039,"source: design test case id: tc-searchresults-001 title: search results display module: itemresultsearch source files or pages: 5 covered methods: preconditions: user logged in test data: - search query: ""test"" test steps: 1. user logs in. 2. user performs a search query. 3. system displays search results as resultitems. expected result: - search results displayed as resultitems. - each resultitem links to relevant actions (chat, businessprofile, etc.). unit: project:","source: code test case id: tc-tutorial-list-screen-005 title: verify search results module: tutorial list screen source files or pages: [""src/main/res/layout/fragment_tutorial_list_screen.xml""] covered methods: [""oncreateview""] preconditions: [""the user is on the tutorial list screen""] test data: [""the user has searched for a tutorial""] test steps: [""the user clicks on the search button""] expected result: [""the user is able to see the search results""] unit: main_05 project: app"
TC-SearchResults-002,TC-TUTORIAL-LIST-SCREEN-005,0.8871164321899414,source: design test case id: tc-searchresults-002 title: initiate chat from search results module: chat source files or pages: 5 covered methods: preconditions: user logged in and viewed search results test data: - resultitem id: 1 test steps: 1. user logs in. 2. user views search results. 3. user clicks on the chat link from a resultitem. expected result: - user navigated to the chat screen successfully. - chat initiation interface displayed. unit: project:,"source: code test case id: tc-tutorial-list-screen-005 title: verify search results module: tutorial list screen source files or pages: [""src/main/res/layout/fragment_tutorial_list_screen.xml""] covered methods: [""oncreateview""] preconditions: [""the user is on the tutorial list screen""] test data: [""the user has searched for a tutorial""] test steps: [""the user clicks on the search button""] expected result: [""the user is able to see the search results""] unit: main_05 project: app"
TC-SearchResults-003,TC-TUTORIAL-LIST-SCREEN-005,0.8742741346359253,source: design test case id: tc-searchresults-003 title: view unsold items from search results module: viewunsold source files or pages: 5 covered methods: preconditions: user logged in and viewed search results test data: - resultitem id: 1 test steps: 1. user logs in. 2. user views search results. 3. user clicks on the view unsold items link from a resultitem. expected result: - user navigated to the viewunsold screen successfully. - unsold items displayed. unit: project:,"source: code test case id: tc-tutorial-list-screen-005 title: verify search results module: tutorial list screen source files or pages: [""src/main/res/layout/fragment_tutorial_list_screen.xml""] covered methods: [""oncreateview""] preconditions: [""the user is on the tutorial list screen""] test data: [""the user has searched for a tutorial""] test steps: [""the user clicks on the search button""] expected result: [""the user is able to see the search results""] unit: main_05 project: app"
TC-SearchResults-004,TC-MyProductsScreen-002,0.8677403330802917,source: design test case id: tc-searchresults-004 title: view promotions from search results module: viewpromotions source files or pages: 5 covered methods: preconditions: user logged in and viewed search results test data: - resultitem id: 1 test steps: 1. user logs in. 2. user views search results. 3. user clicks on the view promotions link from a resultitem. expected result: - user navigated to the viewpromotions screen successfully. - promotions displayed. unit: project:,"source: code test case id: tc-myproductsscreen-002 title: test search_card card view module: myproductsscreen source files or pages: [""src/main/res/layout/fragment_my_products_screen.xml""] covered methods: [""search_card""] preconditions: [""the user is on the my products screen""] test data: [""the user has clicked the search_card card view""] test steps: [""the user clicks the search_card card view""] expected result: [""the user is navigated to the search screen""] unit: main_05 project: app"
TC-Database-001,TC-UI-003,0.8264487981796265,source: design test case id: tc-database-001 title: authorization check module: storeddatadb source files or pages: 6 covered methods: preconditions: user attempting to log in test data: - username: testuser - password: password123 test steps: 1. user attempts to log in. 2. system checks for user authorization. 3. system verifies if the user exists. 4. system verifies if the credentials are valid. expected result: - user authorized successfully if both conditions met. - user denied access if either condition fails. unit: project:,"source: code test case id: tc-ui-003 title: reauthenticate dialog: password input module: reauthenticate dialog source files or pages: [""src/main/res/layout/dialog_reauthenticate.xml""] covered methods: [""oncreateview""] preconditions: [""reauthenticate dialog is displayed""] test data: [""password edittext is visible""] test steps: [""enter valid password in password edittext""] expected result: [""password edittext is validated""] unit: main_05 project: app"
