"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Authentication-001","Login after 4 weeks of inactivity","Authentication","1,2,3,4,5,6","User has not used the application for 4 weeks.","User's email and password.","1. Open the application.
2. Enter the email and password.
3. Click on the ""Login"" button.","User is successfully logged in."
"TC-ItemBrowsing-002","Swipe left to express disinterest in an item","Item Browsing","1,2,3,4,5,6","User is browsing items.","None.","1. Select an item to view its details.
2. Swipe left on the item.","The item is moved to the left and the user is shown the next item."
"TC-ItemBrowsing-003","Swipe right to express interest in an item","Item Browsing","1,2,3,4,5,6","User is browsing items.","None.","1. Select an item to view its details.
2. Swipe right on the item.","The item is moved to the right and the user is shown a message asking if they want to send a match request."
"TC-Matching-004","Match request is sent when two users express interest in each other's items","Matching","1,2,3,4,5,6","Two users have swiped right on each other's items.","None.","1. User A swipes right on User B's item.
2. User B swipes right on User A's item.","A match request is sent to both users and they are notified."
"TC-Messaging-005","Users can chat after a match is made","Messaging","1,2,3,4,5,6","Two users have matched.","None.","1. User A accepts the match request.
2. User A sends a message to User B.
3. User B replies to User A's message.","The messages are sent and received correctly."
"TC-Exchange-006","Users can exchange items after agreeing on the details","Exchange","1,2,3,4,5,6","Two users have matched and agreed on the details of the exchange.","None.","1. User A and User B agree on the details of the exchange.
2. User A sends a request to exchange the items.
3. User B accepts the request.","The items are exchanged and both users are notified."
"TC-Registration-007","Create Account","Registration","7","The application is installed on the device.
Trigger: The user opens the application for the first time.","N/A","1. The user opens the application.
2. The user is presented with a registration form.
3. The user enters the required details in the registration form.
4. The user submits the registration form.","The user is able to create an account."
"TC-EmailConfirmation-008","Confirm Email","Email Confirmation","7","The user has completed the registration form.
Trigger: The user clicks on the email confirmation link.","N/A","1. The user clicks on the email confirmation link.
2. The user is redirected to the application.","The user's account is activated and ready for use."
"TC-AddItem-009","Add Item","Add Item","8","The user is logged into the application.
Trigger: The user navigates to the add item page.","N/A","1. The user navigates to the add item page.
2. The user enters the details of the item to be added.
3. The user submits the item details.","The item is added to the user's profile and is available for barter."
"TC-ViewOtherUsersItem-010","View Other User's Item","View Other User's Item","9","The user has items in their profile.
Trigger: The user navigates to the home page of the application.","N/A","1. The user navigates to the home page of the application.
2. The user views the items of other users.","The user is able to view the items of other users."
"TC-ExpressInterest-011","Express Interest","Express Interest","11","The user has viewed an item of another user.
Trigger: The user swipes right on the item card.","N/A","1. The user views an item of another user.
2. The user swipes right on the item card.","The user has expressed interest in the item."
"TC-Match-012","Match","Match","11","Two users have expressed interest in each other's items.
Trigger: One user expresses interest in an item of another user.","N/A","1. User A expresses interest in an item of User B.
2. User B expresses interest in an item of User A.","The system notifies both users of the match."
"TC-Chat-013","Chat","Chat","11","Two users have matched.
Trigger: The users start chatting.","N/A","1. The users start chatting.
2. The users can send and receive messages.","The users can communicate with each other and negotiate the exchange."
"TC-Exchange-014","Exchange","Exchange","11","The users have agreed on an exchange.
Trigger: The users confirm the exchange.","N/A","1. The users confirm the exchange.
2. The items are exchanged.","The exchange is completed and the chat is archived if the users have not matched on other items."
"TC-UserInterface-015","User can upload items for trade","User Interface","13","User has created an account","Any item","1. Navigate to the upload item page
2. Select the item to be uploaded
3. Enter a description of the item
4. Click the upload button","The item is successfully uploaded and is visible to other users"
"TC-UserInterface-016","User can express interest in another user's item","User Interface","13,14","User has created an account and has uploaded at least one item","Another user's item","1. Navigate to the item page of another user
2. Click the ""Express Interest"" button","The other user is notified of the interest and can initiate a chat to discuss the trade"
"TC-Chat-017","Users can chat to discuss trades","Chat","14,15","Two users have expressed interest in each other's items","Messages related to the trade","1. Initiate a chat with the other user
2. Send messages related to the trade","The chat is functional and messages are sent and received"
"TC-Authentication-018","User can log in with correct credentials","Authentication","14","User has created an account","Correct username and password","1. Navigate to the login page
2. Enter the correct username and password
3. Click the login button","The user is successfully logged in"
"TC-Authentication-019","User Login","Authentication","24","User has installed the application and has registered an account.","Email, Password","1. User enters email and password.
2. User clicks on the login button.","User is logged in and provided with a token to make requests."
"TC-UserProfile-020","User Profile Creation","User Profile","22,23","User is not logged in.","Name, Surname, Date of Birth, Phone, Email, Password, Location","1. User clicks on the register button.
2. User enters personal details.
3. User clicks on the register button.","A new user is created and the user can log in and use the application."
"TC-UserItems-021","Adding Items to Profile","User Items","23","User is logged in.","Item Name, Description, Photo","1. User clicks on the add item button.
2. User enters item details.
3. User clicks on the add item button.","A new item is added to the user's profile and is available for trading."
"TC-Matching-022","Match Functionality","Matching","23","Two users have expressed interest in each other's items.","Two users with items available for trade.","1. User A and User B swipe right on each other's items.","A match is created and a notification is sent to both users, and a chat is opened between them."
"TC-Chat-023","Chat Functionality","Chat","24","A match has been created between two users.","None","1. User A and User B start a conversation in the chat.","Messages are saved in the database.
These test cases are based on the explicit requirements written in the provided PDF."
"TC-Login-024","User Login","Login","25","The login screen is displayed to the user","Correct username and password","1. Enter the correct username and password
2. Tap the login button","The user is redirected to the home screen and the token is saved for future requests"
