"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Home-001","Verify Home Screen Navigation to PaginaFunzione","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Click on the PaginaFunzione option.
3. Verify that the PaginaFunzione page is displayed.","The PaginaFunzione page should be successfully loaded."
"TC-Home-002","Verify Home Screen Display of CuriositaDelGiorno","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Verify that the CuriositaDelGiorno is displayed.","The CuriositaDelGiorno should be displayed on the Home screen."
"TC-Home-003","Verify Home Screen Access to LeMiePiante","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Click on the LeMiePiante option.
3. Verify that the LeMiePiante page is displayed.","The LeMiePiante page should be successfully loaded."
"TC-Home-004","Verify Home Screen Access to Diario","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Click on the Diario option.
3. Verify that the Diario page is displayed.","The Diario page should be successfully loaded."
"TC-Home-005","Verify Home Screen Access to AnalisiPianta","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Click on the AnalisiPianta option.
3. Verify that the AnalisiPianta page is displayed.","The AnalisiPianta page should be successfully loaded."
"TC-Home-006","Verify Home Screen Access to RilevatoreMalattia","Home","2","User is logged into the application.","No specific input required.","1. Navigate to the Home screen.
2. Click on the RilevatoreMalattia option.
3. Verify that the RilevatoreMalattia page is displayed.","The RilevatoreMalattia page should be successfully loaded."
"TC-Fotocamera-001","Verify Camera Functionality","Fotocamera","2","User is logged into the application.","No specific input required.","1. Open the camera functionality.
2. Take a photo.
3. Verify that the photo is captured and associated with LeMiePiante.
4. Verify that the photo is also associated with VereSpecieDellePianteFotografate.","The photo should be successfully captured and associated with both LeMiePiante and VereSpecieDellePianteFotografate."
"TC-Authentication-001","Verify Successful Login Process","Authentication","3","User credentials are valid.","Username: testuser, Password: testpassword","1. Enter the username and password.
2. Click on the login button.
3. Verify that the user is logged in successfully.
4. Verify that the token is generated and stored.","The user should be logged in successfully, and the token should be generated and stored."
"TC-Authentication-002","Verify Failed Login Process","Authentication","3","User credentials are invalid.","Username: wronguser, Password: wrongpassword","1. Enter the username and password.
2. Click on the login button.
3. Verify that the login fails.","The login attempt should fail, and an appropriate error message should be displayed."
"TC-GeminiAI-001","Verify Plant Species Identification","Gemini AI API","4","User has taken a photo and uploaded it to the application.","A photo of a plant.","1. Upload the photo to the application.
2. Request species identification using the Gemini AI API.
3. Verify that the species is correctly identified.
4. Store the identified species information in Firebase Storage.","The plant species should be correctly identified, and the information should be stored in Firebase Storage."
"TC-FirebaseStorage-001","Verify Personal Storage Path Retrieval","Firebase Storage","5","User is logged into the application.","No specific input required.","1. Request the personal storage path from Firebase Storage.
2. Verify that the personal storage path is returned.","The personal storage path should be successfully retrieved."
"TC-FirebaseStorage-002","Verify Photo Retrieval from Firebase Storage","Firebase Storage","5","User has uploaded a photo to Firebase Storage.","A photo URL.","1. Request the photo URL from Firebase Storage.
2. Verify that the photo is downloaded and displayed.","The photo should be successfully downloaded and displayed."
"TC-DataManager-001","Verify DataManager Interaction with Plant Management Use Cases","DataManager","1","User is logged into the application.","No specific input required.","1. Perform an operation related to plant management (e.g., insert a new plant).
2. Verify that the DataManager processes the request and updates the database accordingly.","The DataManager should process the request and update the database with the new plant information."
"TC-DataManager-002","Verify DataManager Interaction with Diary Management Use Cases","DataManager","1","User is logged into the application.","No specific input required.","1. Perform an operation related to diary management (e.g., add a new entry).
2. Verify that the DataManager processes the request and updates the database accordingly.","The DataManager should process the request and update the database with the new diary entry."
"TC-SharedPreference-001","Verify Shared Preference Storage","SharedPreference","2","User is logged into the application.","Text to store.","1. Store the text in SharedPreference.
2. Retrieve the text from SharedPreference.
3. Verify that the text is correctly stored and retrieved.","The text should be successfully stored and retrieved from SharedPreference."
"TC-SharedPreference-002","Verify Shared Preference Retrieval Failure","SharedPreference","2","SharedPreference is empty.","No specific input required.","1. Attempt to retrieve text from SharedPreference.
2. Verify that the retrieval fails.","The retrieval should fail, and an appropriate error message should be displayed."
"TC-SharedPreference-007","Verify Shared Preference Storage with Null Input","SharedPreference","2","User is logged into the application.","Null value.","1. Attempt to store a null value in SharedPreference.
2. Verify that the storage fails.","The storage should fail, and an appropriate error message should be displayed."
"TC-SharedPreference-008","Verify Shared Preference Retrieval with Null Input","SharedPreference","2","SharedPreference contains a null value.","No specific input required.","1. Attempt to retrieve a null value from SharedPreference.
2. Verify that the retrieval fails.","The retrieval should fail, and an appropriate error message should be displayed."
