"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Login-001","Successful login for a user","Login","1","User exists in the system.","Valid username and password.","1. Navigate to the login page.
2. Enter the valid username and password.
3. Click the ""Login"" button.","User is logged in successfully."
"TC-Login-002","Unsuccessful login for a user with invalid credentials","Login","1","User exists in the system.","Invalid username or password.","1. Navigate to the login page.
2. Enter the invalid username or password.
3. Click the ""Login"" button.","Login fails, and an error message is displayed."
"TC-Login-003","Unsuccessful login for a non-existent user","Login","1","User does not exist in the system.","Valid username and password.","1. Navigate to the login page.
2. Enter the valid username and password.
3. Click the ""Login"" button.","Login fails, and an error message is displayed."
"TC-Admin-001","Successful login for an admin","Login","1","Admin exists in the system.","Valid username and password.","1. Navigate to the login page.
2. Enter the valid admin username and password.
3. Click the ""Login"" button.","Admin is logged in successfully."
"TC-Admin-002","Unsuccessful login for an admin with invalid credentials","Login","1","Admin exists in the system.","Invalid username or password.","1. Navigate to the login page.
2. Enter the invalid admin username or password.
3. Click the ""Login"" button.","Login fails, and an error message is displayed."
"TC-Admin-003","Unsuccessful login for a non-admin user","Login","1","Non-admin user exists in the system.","Admin username and password.","1. Navigate to the login page.
2. Enter the admin username and password.
3. Click the ""Login"" button.","Login fails, and an error message is displayed."
"TC-Product-001","Adding a product to the cart","Product","1","User is logged in.","Valid product name and price.","1. Log in as a user.
2. Navigate to the product page.
3. Select the product to add to the cart.
4. Click the ""Add to Cart"" button.","The product is added to the user's cart."
"TC-Product-002","Removing a product from the cart","Cart","1","User is logged in and has a product in the cart.","Valid product name.","1. Log in as a user.
2. Navigate to the cart page.
3. Find the product to remove from the cart.
4. Click the ""Remove"" button next to the product.","The product is removed from the user's cart."
"TC-Admin-004","Adding a product as an admin","Product","1","Admin is logged in.","Valid product name and price.","1. Log in as an admin.
2. Navigate to the product management page.
3. Click the ""Add Product"" button.
4. Enter the product name and price.
5. Click the ""Save"" button.","The new product is added to the system."
"TC-Admin-005","Removing a product as an admin","Product","1","Admin is logged in and there is a product in the system.","Valid product name.","1. Log in as an admin.
2. Navigate to the product management page.
3. Find the product to remove from the system.
4. Click the ""Remove"" button next to the product.","The product is removed from the system."
