"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Homepage-001","Verify navigation to Settings Page","Homepage","1","User is on the homepage.","None","1. Click on settings.
2. Verify if the settings page opens.","The settings page should open successfully."
"TC-Homepage-002","Verify navigation to New Location Page","Homepage","1","User is on the homepage.","None","1. Click on display new location.
2. Verify if the new location page opens.","The new location page should open successfully."
"TC-Homepage-003","Verify navigation to Location Details Page","Homepage","1","User is on the homepage.","None","1. Click on a location.
2. Verify if the location details page opens.","The location details page should open successfully."
"TC-Homepage-004","Verify navigation to Pathfinder Page","Homepage","1","User is on the homepage.","None","1. Click on Pathfinder.
2. Verify if the Pathfinder page opens.","The Pathfinder page should open successfully."
"TC-Homepage-005","Verify navigation back to Homepage via Swipe Up","Homepage","1","User is on any page other than the homepage.","None","1. Swipe up.
2. Verify if the homepage opens.","The homepage should open successfully."
"TC-PageDetails-001","Verify navigation to System Map","PageDetails","2","User is on the detailed page.","None","1. Click on navigate.
2. Verify if the system map opens.","The system map should open successfully."
"TC-PageDetails-002","Verify navigation to Yelp Website","PageDetails","2","User is on the detailed page.","None","1. Click on open in browser.
2. Verify if the Yelp website opens.","The Yelp website should open successfully."
"TC-PageDetails-003","Verify navigation to Call Business","PageDetails","2","User is on the detailed page.","None","1. Click on call business.
2. Verify if the call initiates.","The call should initiate successfully."
"TC-PageDetails-004","Verify navigation back to Homepage","PageDetails","2","User is on the detailed page.","None","1. Click on back.
2. Verify if the homepage opens.","The homepage should open successfully."
"TC-PageDetails-005","Verify navigation to Preferences Modification","PageDetails","2","User is on the detailed page.","None","1. Click on like/dislike.
2. Verify if the preferences modification screen opens.","The preferences modification screen should open successfully."
"TC-Pathfinder-001","Verify navigation back to Homepage","Pathfinder","3","User is on the Pathfinder page.","None","1. Click on back.
2. Verify if the homepage opens.","The homepage should open successfully."
"TC-Pathfinder-002","Verify question display and response selection","Pathfinder","3","User is on the Pathfinder page.","None","1. Click on back (no).
2. Verify if the question is displayed.
3. Select a response.
4. Verify if the suggested location is displayed.","The question should be displayed, and the suggested location should be displayed if available. If not, the process should end without further steps."
"TC-Pathfinder-003","Verify navigation back to Homepage without a suggestion","Pathfinder","3","User is on the Pathfinder page.","None","1. Click on back (no).
2. Verify if the question is displayed.
3. Select a response.
4. Verify if there is no suggested location.","The question should be displayed, and the process should end without showing a suggested location. The homepage should not open."
"TC-Homepage-006","Verify navigation failure to Settings Page","Homepage","1","User is on the homepage.","None","1. Click on settings.
2. Verify if the settings page does not open.","The settings page should not open."
"TC-Homepage-007","Verify navigation failure to New Location Page","Homepage","1","User is on the homepage.","None","1. Click on display new location.
2. Verify if the new location page does not open.","The new location page should not open."
"TC-Homepage-008","Verify navigation failure to Location Details Page","Homepage","1","User is on the homepage.","None","1. Click on a location.
2. Verify if the location details page does not open.","The location details page should not open."
"TC-Homepage-009","Verify navigation failure to Pathfinder Page","Homepage","1","User is on the homepage.","None","1. Click on Pathfinder.
2. Verify if the Pathfinder page does not open.","The Pathfinder page should not open."
"TC-PageDetails-006","Verify navigation failure to System Map","PageDetails","2","User is on the detailed page.","None","1. Click on navigate.
2. Verify if the system map does not open.","The system map should not open."
"TC-PageDetails-007","Verify navigation failure to Yelp Website","PageDetails","2","User is on the detailed page.","None","1. Click on open in browser.
2. Verify if the Yelp website does not open.","The Yelp website should not open."
"TC-PageDetails-008","Verify navigation failure to Call Business","PageDetails","2","User is on the detailed page.","None","1. Click on call business.
2. Verify if the call does not initiate.","The call should not initiate."
"TC-PageDetails-009","Verify navigation failure back to Homepage","PageDetails","2","User is on the detailed page.","None","1. Click on back.
2. Verify if the homepage does not open.","The homepage should not open."
"TC-PageDetails-010","Verify navigation failure to Preferences Modification","PageDetails","2","User is on the detailed page.","None","1. Click on like/dislike.
2. Verify if the preferences modification screen does not open.","The preferences modification screen should not open."
"TC-Pathfinder-010","Verify navigation failure back to Homepage without a suggestion","Pathfinder","3","User is on the Pathfinder page.","None","1. Click on back (no).
2. Verify if the question is displayed.
3. Select a response.
4. Verify if there is no suggested location.","The question should be displayed, and the process should end without showing a suggested location. The homepage should not open."
"TC-Homepage-010","Verify navigation to Settings Page with invalid input","Homepage","1","User is on the homepage.","Invalid input (e.g., clicking settings multiple times quickly).","1. Click on settings multiple times quickly.
2. Verify if the settings page opens only once.","The settings page should open only once."
"TC-Homepage-011","Verify navigation to New Location Page with invalid input","Homepage","1","User is on the homepage.","Invalid input (e.g., clicking display new location multiple times quickly).","1. Click on display new location multiple times quickly.
2. Verify if the new location page opens only once.","The new location page should open only once."
"TC-Homepage-012","Verify navigation to Location Details Page with invalid input","Homepage","1","User is on the homepage.","Invalid input (e.g., clicking a location multiple times quickly).","1. Click on a location multiple times quickly.
2. Verify if the location details page opens only once.","The location details page should open only once."
"TC-Homepage-013","Verify navigation to Pathfinder Page with invalid input","Homepage","1","User is on the homepage.","Invalid input (e.g., clicking Pathfinder multiple times quickly).","1. Click on Pathfinder multiple times quickly.
2. Verify if the Pathfinder page opens only once.","The Pathfinder page should open only once."
"TC-PageDetails-011","Verify navigation to System Map with invalid input","PageDetails","2","User is on the detailed page.","Invalid input (e.g., clicking navigate multiple times quickly).","1. Click on navigate multiple times quickly.
2. Verify if the system map opens only once.","The system map should open only once."
"TC-PageDetails-012","Verify navigation to Yelp Website with invalid input","PageDetails","2","User is on the detailed page.","Invalid input (e.g., clicking open in browser multiple times quickly).","1. Click on open in browser multiple times quickly.
2. Verify if the Yelp website opens only once.","The Yelp website should open only once."
"TC-PageDetails-013","Verify navigation to Call Business with invalid input","PageDetails","2","User is on the detailed page.","Invalid input (e.g., clicking call business multiple times quickly).","1. Click on call business multiple times quickly.
2. Verify if the call initiates only once.","The call should initiate only once."
"TC-PageDetails-014","Verify navigation back to Homepage with invalid input","PageDetails","2","User is on the detailed page.","Invalid input (e.g., clicking back multiple times quickly).","1. Click on back multiple times quickly.
2. Verify if the homepage opens only once.","The homepage should open only once."
"TC-PageDetails-015","Verify navigation to Preferences Modification with invalid input","PageDetails","2","User is on the detailed page.","Invalid input (e.g., clicking like/dislike multiple times quickly).","1. Click on like/dislike multiple times quickly.
2. Verify if the preferences modification screen opens only once.","The preferences modification screen should open only once."
