"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-SystemModel-001","Verify the system model diagrams are correctly represented","System Model","9, 10","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the System Model section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the system model diagrams are correctly represented using UML.","The system model diagrams should be correctly represented using UML."
"TC-RequirementsClasses-002","Verify the required and additional user experience enhancing requirements are listed","Requirements Classes","22","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the Requirements Classes section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the required and additional user experience enhancing requirements are listed.","The required and additional user experience enhancing requirements should be listed."
"TC-FunctionalRequiremen-003","Verify the functional requirements are correctly defined and described","Functional Requirements","23","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the Functional Requirements section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the functional requirements are correctly defined and described.","The functional requirements should be correctly defined and described."
"TC-NonFunctionalRequire-004","Verify the non-functional requirements are correctly defined and described","Non-Functional Requirements","30","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the Non-Functional Requirements section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the non-functional requirements are correctly defined and described.","The non-functional requirements should be correctly defined and described."
"TC-SystemEvolution-005","Verify the potential future modifications and expansions of the system are described","System Evolution","44","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the System Evolution section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the potential future modifications and expansions of the system are described.","The potential future modifications and expansions of the system should be described."
"TC-RequirementsSpecific-006","Verify the detailed requirements specifications are provided","Requirements Specification","45","User has access to the Trek with TrekMate 2023/24 D2 document","N/A","1. Navigate to the Requirements Specification section of the Trek with TrekMate 2023/24 D2 document.
2. Verify that the detailed requirements specifications are provided.","The detailed requirements specifications should be provided."
"TC-UserRegistration-007","User Registration","User Registration","11","User has the TrekMate app installed on their smartphone.","User's name, email, password, and phone number.","1. Open the TrekMate app on the smartphone.
2. Tap the ""Register"" button.
3. Enter the required information (name, email, password, and phone number).
4. Tap the ""Register"" button again to submit the form.","The user should receive a confirmation message that their account has been created successfully."
"TC-UserLogin-008","Login","User Login","11","User has a registered account on TrekMate.","User's email and password.","1. Open the TrekMate app on the smartphone.
2. Tap the ""Login"" button.
3. Enter the email and password.
4. Tap the ""Login"" button again to submit the form.","The user should be logged in and redirected to the main app screen."
"TC-Registration-009","User Registration","Registration","13","The application is installed and operational on the user's device.","None","1. Open the application for the first time.
2. The user is invited to register.
3. The user creates a new user profile.
4. The system saves the unique user code for identification within the group.","The user can access their account or create a new one."
"TC-Profile-010","Profile View","Profile","14-15","The user is registered and has logged in to the application.
The application is operational and the user has an active internet connection (if the profile data is stored online).","None","1. The user selects the option to view their profile from the application interface.
2. The user is redirected to the profile page where they can see all information related to their account.","The user has visualized their profile information and can navigate through the various sections of the profile or modify the information as desired."
"TC-Profile-011","Profile Update","Profile","15","The user is registered and has an active profile.
The user has logged in to the system.
The system is operational.","None","1. The user selects the option to update their profile from the settings menu.
2. The system displays the pre-filled profile update form with the current user information.
3. The user makes the desired changes to the form fields.
4. The user confirms the changes.
5. The system validates the new information.
6. If the information is invalid, the system displays an error message and asks the user to correct the data.
7. If the information is valid, the system updates the user's profile with the new information and confirms the update to the user.","The user's information is updated and saved in the system."
"TC-Login-012","User Login","Login","16","The application is installed and the user has registered.","None","1. The user starts the application for the first time.
2. The user must log in to the application using their account credentials.
3. The user enters their email address and password associated with their account.
4. The user presses the ""Login"" button to access the application.","After the user has entered their credentials and they are verified, the user is authenticated and redirected to the main screen of the application."
"TC-RoutePlanning-013","Route Planning","Route Planning","17","The user is registered and authenticated in the application.
The application has access to the user's current location.
The system is connected to the mapping service and the weather service.","None","1. The user starts to trace a route on the map.
2. The user selects the starting point and the destination of the route on the map.
3. The system calculates the route and displays it on the map.
4. The system requests weather information along the route.
5. The weather information is displayed in correspondence of the various points of the route.
6. The user can evaluate the weather conditions to decide whether to proceed or modify the route.","The route and the related weather conditions are displayed on the map."
"TC-RouteDetails-014","Route Details","Route Details","18","The user has completed a hiking trip and has saved the route in the application.","None","1. The user selects the ""View Route Details"" function from the application.
2. The user chooses the route for which they want to view the details from the list of saved routes.
3. The system retrieves the detailed information related to the selected route, including the map of the route, the estimated time, the distance traveled, elevation changes, and other relevant statistics.
4. The information is presented to the user in a readable and understandable format, with the ability to zoom and navigate the map to explore specific sections of the route.","The user has access to all the detailed information related to the selected route and can use this information to reflect on their experience or plan future activities."
"TC-WeatherInformation-015","Weather Information","Weather Information","17","The user is registered and has logged in to the application.
The application has access to the user's current location.
The system is connected to the weather service.","None","1. The user starts to trace a route on the map.
2. The system provides weather information for the route based on the user's current location and the selected route.","The user receives accurate and timely weather information that can help them make informed decisions for their safety and comfort during their hiking trip."
"TC-Map-016","Verify and control the position","Map","19,20","The user is registered and logged in the application.
The application has access to the user's current position.
The application is connected to a mapping service and a weather service.","User's current position","1. The user clicks on a specific position on the map.
2. The system shows an indicator on the selected position.
3. The system shows the local weather conditions.","The local weather conditions for the selected position are displayed correctly."
