"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-DataDisplay-001","Verify DataDisplay displays correct data to LocalUser","DataDisplay","1","LocalUser is logged in.","No specific data required.","1. LocalUser requests data from DataDisplay.
2. DataDisplay retrieves data from RealTimeDatabase.
3. DataDisplay displays the retrieved data to LocalUser.","DataDisplay successfully displays the correct data to LocalUser."
"TC-LocalUser-001","Verify LocalUser can log in and out","LocalUser","2","User credentials are valid.","username = ""testuser"", password = ""testpass""","1. LocalUser attempts to log in using valid credentials.
2. Authentication verifies the credentials.
3. LocalUser is logged in.
4. LocalUser logs out.","LocalUser successfully logs in and out."
"TC-LocalUser-002","Verify LocalUser cannot log in with invalid credentials","LocalUser","2","User credentials are invalid.","username = ""invaliduser"", password = ""wrongpass""","1. LocalUser attempts to log in using invalid credentials.
2. Authentication verifies the credentials.
3. LocalUser is denied login.","LocalUser is not logged in due to invalid credentials."
"TC-LocalUser-003","Verify LocalUser can add and remove products from Cart","LocalUser","2","LocalUser is logged in.","Product name = ""ProductA"", price = 10.99","1. LocalUser adds a product to their Cart.
2. Cart updates to include the new product.
3. LocalUser removes the product from their Cart.
4. Cart updates to exclude the product.","Cart correctly reflects the addition and removal of products."
"TC-LocalUser-004","Verify LocalUser can checkout from the system","LocalUser","2","LocalUser has items in their Cart.","No specific data required.","1. LocalUser initiates the checkout process.
2. Checkout processes the Cart.
3. LocalUser is redirected to a confirmation page.","LocalUser successfully completes the checkout process."
"TC-Admin-001","Verify Admin can log in and out","Admin","2","Admin credentials are valid.","username = ""adminuser"", password = ""adminpass""","1. Admin attempts to log in using valid credentials.
2. Authentication verifies the credentials.
3. Admin is logged in.
4. Admin logs out.","Admin successfully logs in and out."
"TC-Admin-002","Verify Admin cannot log in with invalid credentials","Admin","2","Admin credentials are invalid.","username = ""invalidadmin"", password = ""wrongpass""","1. Admin attempts to log in using invalid credentials.
2. Authentication verifies the credentials.
3. Admin is denied login.","Admin is not logged in due to invalid credentials."
"TC-Admin-003","Verify Admin can add and remove products from Cart","Admin","2","Admin is logged in.","Product name = ""ProductB"", price = 20.99","1. Admin adds a product to their Cart.
2. Cart updates to include the new product.
3. Admin removes the product from their Cart.
4. Cart updates to exclude the product.","Cart correctly reflects the addition and removal of products."
"TC-Admin-004","Verify Admin can checkout from the system","Admin","2","Admin has items in their Cart.","No specific data required.","1. Admin initiates the checkout process.
2. Checkout processes the Cart.
3. Admin is redirected to a confirmation page.","Admin successfully completes the checkout process."
"TC-Fragment-001","Verify Fragment can be added to FragmentDatabase","FragmentDatabase","3","Fragment exists.","Fragment name = ""Fragment1""","1. Fragment is added to FragmentDatabase.
2. FragmentDatabase updates to include the new fragment.","Fragment successfully added to FragmentDatabase."
"TC-Fragment-002","Verify Fragment can be removed from FragmentDatabase","FragmentDatabase","3","Fragment exists in FragmentDatabase.","Fragment name = ""Fragment1""","1. Fragment is removed from FragmentDatabase.
2. FragmentDatabase updates to exclude the fragment.","Fragment successfully removed from FragmentDatabase."
"TC-Fragment-003","Verify Fragment cannot be added to non-existent FragmentDatabase","FragmentDatabase","3","Fragment exists but no FragmentDatabase.","Fragment name = ""Fragment1""","1. Attempt to add Fragment to non-existent FragmentDatabase.
2. FragmentDatabase update fails.","Fragment addition fails due to non-existent FragmentDatabase."
