Test Case ID,Title,Module,Source UML Pages,Preconditions,Test Data,Test Steps,Expected Result
TC-U-ENVIRONMENT-001,Verify U-environment initial state,U-environment,1,Application is launched,N/A,"1. Launch the application
2. Check if the U-environment activity is active",The U-environment activity is active.
TC-U-ENVIRONMENT-002,Verify registration process,U-environment,1,Application is launched,"- Valid user data (name, email, password)
- Invalid user data (empty fields, invalid email format)","1. Launch the application
2. Navigate to the Register activity
3. Enter valid user data
4. Submit the registration form
5. Check if the registration is successful
6. Repeat steps 3-5 with invalid user data","- Registration is successful with valid user data
- Registration fails with invalid user data"
TC-U-ENVIRONMENT-003,Verify login process,U-environment,1,"Application is launched, user is registered","- Valid user credentials (email, password)
- Invalid user credentials (incorrect email or password)","1. Launch the application
2. Navigate to the Login activity
3. Enter valid user credentials
4. Submit the login form
5. Check if the user is logged in
6. Repeat steps 3-5 with invalid user credentials","- User is logged in with valid credentials
- Login fails with invalid credentials"
TC-U-ENVIRONMENT-004,Verify newsletter functionality,U-environment,1,"Application is launched, user is logged in","- Subscribe to newsletter
- Unsubscribe from newsletter","1. Launch the application
2. Log in as a user
3. Navigate to the Newsletter activity
4. Subscribe to the newsletter
5. Check if the user is subscribed
6. Navigate to the Newsletter activity again
7. Unsubscribe from the newsletter
8. Check if the user is unsubscribed","- User is subscribed to the newsletter
- User is unsubscribed from the newsletter"
TC-U-ENVIRONMENT-005,Verify flash activity,U-environment,1,"Application is launched, user is logged in",- View flash activity,"1. Launch the application
2. Log in as a user
3. Navigate to the Flash activity
4. Check if the flash activity is displayed",The flash activity is displayed.
TC-U-ENVIRONMENT-006,Verify event creation,U-environment,1,"Application is launched, user is logged in","- Create an event with valid data (title, description, date, location)
- Create an event with invalid data (empty fields, invalid date format)","1. Launch the application
2. Log in as a user
3. Navigate to the Create event activity
4. Enter valid event data
5. Submit the event creation form
6. Check if the event is created
7. Repeat steps 3-6 with invalid event data","- Event is created with valid data
- Event creation fails with invalid data"
TC-U-ENVIRONMENT-007,Verify event joining/viewing,U-environment,1,"Application is launched, user is logged in, event is created","- Join an event
- View an event","1. Launch the application
2. Log in as a user
3. Navigate to the Join/View event activity
4. Join an event
5. Check if the user is joined to the event
6. View the event details
7. Check if the event details are correct","- User is joined to the event
- Event details are correct"
TC-U-ENVIRONMENT-008,Verify profile management,U-environment,1,"Application is launched, user is logged in","- Update user profile with valid data (name, email, password)
- Update user profile with invalid data (empty fields, invalid email format)","1. Launch the application
2. Log in as a user
3. Navigate to the Profile activity
4. Update user profile with valid data
5. Submit the profile update form
6. Check if the user profile is updated
7. Repeat steps 3-6 with invalid user data","- User profile is updated with valid data
- User profile update fails with invalid data"
TC-U-ENVIRONMENT-009,Verify application exit,U-environment,1,"Application is launched, user is logged in",,"1. Launch the application
2. Log in as a user
3. Navigate to the Exit activity
4. Exit the application",The application is closed.
TC-U-ENVIRONMENT-010,Verify newsletter management,U-environment,1,"Application is launched, user is logged in, has newsletter management permissions","- Add a new newsletter
- Edit an existing newsletter
- Delete a newsletter","1. Launch the application
2. Log in as a user with newsletter management permissions
3. Navigate to the Newsletter management activity
4. Add a new newsletter
5. Check if the newsletter is added
6. Edit an existing newsletter
7. Check if the newsletter is updated
8. Delete a newsletter
9. Check if the newsletter is deleted","- Newsletter is added
- Newsletter is updated
- Newsletter is deleted"
TC-U-ENVIRONMENT-011,Verify project data management,U-environment,1,"Application is launched, user is logged in, has project data management permissions","- Add a new project
- Edit an existing project
- Delete a project","1. Launch the application
2. Log in as a user with project data management permissions
3. Navigate to the Gestione di dati del progetto activity
4. Add a new project
5. Check if the project is added
6. Edit an existing project
7. Check if the project is updated
8. Delete a project
9. Check if the project is deleted","- Project is added
- Project is updated
- Project is deleted"
TC-NOTIFICATION-CENTER-001,Verify notification center functionality,Notification center,1,"Application is launched, user is logged in",- Receive a notification,"1. Launch the application
2. Log in as a user
3. Check if a notification is received",A notification is received.
TC-NOTIFICATION-CENTER-002,Verify notification center handling,Notification center,1,"Application is launched, user is logged in, has notification center management permissions","- Add a new notification
- Edit an existing notification
- Delete a notification","1. Launch the application
2. Log in as a user with notification center management permissions
3. Navigate to the Notification center activity
4. Add a new notification
5. Check if the notification is added
6. Edit an existing notification
7. Check if the notification is updated
8. Delete a notification
9. Check if the notification is deleted","- Notification is added
- Notification is updated
- Notification is deleted"
