Test Case ID,Title,Module,Source UML Pages,Preconditions,Test Data,Test Steps,Expected Result
TC-AddVehicle-001,Add a new vehicle manually,AddVehicle,1,"Application is running, no initial configuration has been performed.","Vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Avvio applicazione -> La configurazione iniziale è stata effettuata? -> No -> Aggiungi veicolo -> Inserisci il veicolo manualmente.
3. Enter the vehicle details.
4. Confirm the addition of the vehicle.",The vehicle is added to the list and the user is prompted to add another vehicle or return to the main menu.
TC-AddVehicle-002,Add a new vehicle from dataset,AddVehicle,1,"Application is running, no initial configuration has been performed.","Vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Avvio applicazione -> La configurazione iniziale è stata effettuata? -> No -> Aggiungi veicolo -> Vuoi selezionare il tuo veicolo dal dataset? -> Si -> Cerca il veicolo nel dataset -> Seleziona e aggiungi il veicolo.
3. Search for the vehicle in the dataset.
4. Select and confirm the addition of the vehicle.",The vehicle is added to the list and the user is prompted to add another vehicle or return to the main menu.
TC-AddVehicle-003,Add multiple vehicles,AddVehicle,1,"Application is running, no initial configuration has been performed.","Multiple sets of vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Avvio applicazione -> La configurazione iniziale è stata effettuata? -> No -> Aggiungi veicolo.
3. For each set of vehicle details, follow the path: Vuoi selezionare il tuo veicolo dal dataset? -> No -> Inserisci il veicolo manualmente -> Vuoi aggiungere un altro veicolo? -> Si.
4. Confirm the addition of each vehicle.",All vehicles are added to the list and the user is returned to the main menu.
TC-AddVehicle-004,Add a vehicle but choose not to add another one,AddVehicle,1,"Application is running, no initial configuration has been performed.","Vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Avvio applicazione -> La configurazione iniziale è stata effettuata? -> No -> Aggiungi veicolo.
3. For the first vehicle, follow the path: Vuoi selezionare il tuo veicolo dal dataset? -> No -> Inserisci il veicolo manualmente -> Vuoi aggiungere un altro veicolo? -> No.
4. Confirm the addition of the vehicle.",The vehicle is added to the list and the user is returned to the main menu.
TC-AddVehicle-005,Add a vehicle but choose to add another one,AddVehicle,1,"Application is running, no initial configuration has been performed.","Vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Avvio applicazione -> La configurazione iniziale è stata effettuata? -> No -> Aggiungi veicolo.
3. For the first vehicle, follow the path: Vuoi selezionare il tuo veicolo dal dataset? -> No -> Inserisci il veicolo manualmente -> Vuoi aggiungere un altro veicolo? -> Si.
4. For the second vehicle, follow the path: Vuoi selezionare il tuo veicolo dal dataset? -> No -> Inserisci il veicolo manualmente -> Vuoi aggiungere un altro veicolo? -> No.
5. Confirm the addition of both vehicles.",Both vehicles are added to the list and the user is returned to the main menu.
TC-DistributorList-001,Access distributor list without modifying sorting parameters,DistributorList,2,"Application is running, distributor list is available.",None.,"1. Start the application.
2. Follow the path: Accesso lista distributori -> Visualizza lista dei distributori.",The distributor list is displayed and the user can select a distributor.
TC-DistributorList-002,Access distributor list after modifying sorting parameters,DistributorList,2,"Application is running, distributor list is available.","Sorting parameters (e.g., distance, name, location).","1. Start the application.
2. Follow the path: Accesso lista distributori -> Vuoi modificare i parametri di ordinamento della lista di distributori? -> Si -> Personalizza i parametri di ordinamento -> Visualizza lista dei distributori aggiornata secondo i parametri aggiornati.
3. Modify the sorting parameters.
4. Follow the path: Seleziona il distributore -> Apertura automatica dell'app di navigazione -> Navigazione terminata, raggiunto distributore.",The distributor list is displayed with the modified sorting parameters and the user can select a distributor.
TC-DistributorList-003,Access distributor list and select a distributor,DistributorList,2,"Application is running, distributor list is available.",None.,"1. Start the application.
2. Follow the path: Accesso lista distributori -> Seleziona il distributore.",The selected distributor is highlighted and the user can navigate to it using the navigation app.
TC-Settings-001,Access settings page and view settings,Settings,3,Application is running.,None.,"1. Start the application.
2. Follow the path: Accesso pagina impostazioni -> Visualizza le impostazioni.",The settings page is displayed and the user can view the current settings.
TC-Settings-002,Access settings page and change screen to distributor list,Settings,3,Application is running.,None.,"1. Start the application.
2. Follow the path: Accesso pagina impostazioni -> Vuoi cambiare schermata? -> Si -> Click sull'accesso pagina lista distributori, tramite la barra di navigazione? -> Si -> Accesso lista distributori -> Vedi altri diagrammi.",The user is redirected to the distributor list page and can view other diagrams.
TC-Settings-003,Access settings page and modify vehicle list,Settings,3,"Application is running, at least one vehicle is in the list.","Vehicle details (make, model, year, license plate number).","1. Start the application.
2. Follow the path: Accesso pagina impostazioni -> Vuoi modificare i tuoi veicoli? -> Si -> Modifica lista dei veicoli -> Visualizza pop-up ""modifica effettuata"".",The vehicle list is modified and a confirmation pop-up is displayed.
TC-Settings-004,Access settings page and not modify vehicle list,Settings,3,"Application is running, at least one vehicle is in the list.",None.,"1. Start the application.
2. Follow the path: Accesso pagina impostazioni -> Vuoi modificare i tuoi veicoli? -> No.",The user remains on the settings page without any modifications to the vehicle list. <|end|>
