"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Project-001","Test user login with valid credentials","Login","1, 2","User has registered and activated the account","Username: testuser, Password: testpassword","1. Open the application
2. Navigate to the login screen
3. Enter the test user's username and password
4. Click the login button","The user is logged in and redirected to the home screen"
"TC-Project-002","Test user login with invalid credentials","Login","1, 2","User has registered but not activated the account","Username: testuser, Password: testpassword","1. Open the application
2. Navigate to the login screen
3. Enter the test user's username and password
4. Click the login button","An error message is displayed, and the user is not logged in"
"TC-Project-003","Test user registration with valid credentials","Registration","1, 2","None","Username: testuser, Password: testpassword","1. Open the application
2. Navigate to the registration screen
3. Enter the test user's username and password
4. Click the register button","The user is registered and redirected to the login screen"
"TC-Project-004","Test user registration with invalid credentials","Registration","1, 2","None","Username: testuser, Password: shortpassword (less than 6 characters)","1. Open the application
2. Navigate to the registration screen
3. Enter the test user's username and password
4. Click the register button","An error message is displayed, and the user is not registered"
"TC-Project-005","Test user password recovery","Password Recovery","5","User has forgotten their password","Username: testuser","1. Open the application
2. Navigate to the password recovery screen
3. Enter the test user's email address
4. Click the send recovery link
5. Check the email for a password recovery link
6. Click the password recovery link
7. Enter a new password and confirm it
8. Click the save button","The user's password is updated, and they are redirected to the login screen"
"TC-Project-006","Test user password recovery with invalid email","Password Recovery","5","None","Username: testuser, Email: invalidemail@example.com","1. Open the application
2. Navigate to the password recovery screen
3. Enter the test user's email address
4. Click the send recovery link","An error message is displayed, and the password recovery process is not initiated"
"TC-Project-007","Test user object creation","Object Creation","3","User is logged in","Object name: Test Object, Price: 9.99, Description: Test Object Description","1. Open the application
2. Navigate to the object creation screen
3. Enter the test object's name, price, and description
4. Click the create button","The test object is created and displayed in the user's inventory"
"TC-Project-008","Test user object deletion","Object Deletion","3","User is logged in and has objects in their inventory","Object to delete: Test Object","1. Open the application
2. Navigate to the user's inventory screen
3. Select the test object to delete
4. Click the delete button","The test object is deleted from the user's inventory"
"TC-Project-009","Test user object update","Object Update","3","User is logged in and has objects in their inventory","Object to update: Test Object, New name: Updated Test Object, New price: 19.99, New description: Updated Test Object Description","1. Open the application
2. Navigate to the user's inventory screen
3. Select the test object to update
4. Click the update button
5. Enter the new name, price, and description
6. Click the save button","The test object is updated with the new name, price, and description"
"TC-Project-010","Test user object search","Object Search","3","User is logged in and has objects in their inventory","Search term: Test","1. Open the application
2. Navigate to the user's inventory screen
3. Enter the search term in the search bar
4. Click the search button","The search returns all objects containing the search term"
"TC-Project-011","Test user chat creation","Chat Creation","6","Two users are logged in","User 1: testuser1, User 2: testuser2","1. Open the application for User 1
2. Navigate to the chat screen
3. Click the new chat button
4. Select User 2 from the list of online users
5. Click the create chat button","A new chat is created between User 1 and User 2"
"TC-Project-012","Test user chat message sending","Chat Message Sending","6","A chat exists between two users","User 1: testuser1, User 2: testuser2, Message: Hello!","1. Open the application for User 1
2. Navigate to the chat screen
3. Select the chat with User 2
4. Enter the message in the chat input field
5. Click the send button","The message is sent and displayed in the chat for both users"
"TC-Project-013","Test user chat message deletion","Chat Message Deletion","6","A chat exists between two users with messages","User 1: testuser1, User 2: testuser2, Message to delete: Hello!","1. Open the application for User 1
2. Navigate to the chat screen
3. Select the chat with User 2
4. Long press the message to delete
5. Click the delete button","The message is deleted from the chat for both users"
"TC-Project-014","Test user job creation","Job Creation","4","User is logged in","Job title: Test Job, Description: Test Job Description","1. Open the application
2. Navigate to the job creation screen
3. Enter the job title and description
4. Click the create button","The job is created and displayed in the user's job list"
"TC-Project-015","Test user job application","Job Application","4","User is logged in and a job is available","User: testuser, Job: Test Job","1. Open the application
2. Navigate to the job list screen
3. Select the Test Job
4. Click the apply button","The user's application for the Test Job is submitted"
"TC-Project-016","Test user job rejection","Job Rejection","4","A user has applied for a job","User: testuser, Job: Test Job","1. Open the application as the job creator
2. Navigate to the job list screen
3. Select the Test Job
4. Click the reject button","The user's application for the Test Job is rejected"
"TC-Project-017","Test user job acceptance","Job Acceptance","4","A user has applied for a job and the job is available","User: testuser, Job: Test Job","1. Open the application as the job creator
2. Navigate to the job list screen
3. Select the Test Job
4. Click the accept button","The user is accepted for the Test Job"
"TC-Project-018","Test user job completion","Job Completion","4","A user is working on a job","User: testuser, Job: Test Job","1. Open the application
2. Navigate to the job list screen
3. Select the Test Job
4. Click the complete button","The job is marked as completed for the user"
"TC-Project-019","Test user job cancellation","Job Cancellation","4","A user is working on a job","User: testuser, Job: Test Job","1. Open the application
2. Navigate to the job list screen
3. Select the Test Job
4. Click the cancel button","The job is cancelled for the user"
"TC-Project-020","Test user job notification","Job Notification","4","A user has applied for a job and the job creator has accepted or rejected the application","User: testuser, Job: Test Job","1. Open the application
2. Navigate to the job list screen
3. Check for notifications related to the Test Job","The user receives a notification about the status of their application for the Test Job"
"TC-Project-021","Test user push notification","Push Notification","1","User is logged in","Notification message: New message in chat","1. Open the application
2. Check for push notifications","The user receives a push notification with the specified message"
"TC-Project-022","Test user real-time communication","Real-Time Communication","1, 2","Two users are logged in","User 1: testuser1, User 2: testuser2","1. Open the application for User 1
2. Navigate to the chat screen
3. Select the chat with User 2
4. Enter a message in the chat input field
5. Click the send button
6. Open the application for User 2
7. Check the chat for the received message","The message is received and displayed in real-time for both users"
"TC-Project-023","Test user order creation","Order Creation","3","User is logged in and has objects in their inventory","Objects to order: Test Object (x2), Total price: 19.98","1. Open the application
2. Navigate to the order creation screen
3. Select the objects to order
4. Click the create order button","The order is created and displayed in the user's order list"
"TC-Project-024","Test user order payment","Order Payment","3","User has an order in their order list","Order: Test Order, Payment method: Credit Card","1. Open the application
2. Navigate to the order list screen
3. Select the Test Order
4. Click the pay button
5. Enter the credit card details
6. Click the pay button","The order is paid and marked as paid in the user's order list"
