test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result,run_id,project,unit,file,file_output_dir
TC-<Module>-###,...,...,"[""src/main/java/com/example/reuse/adapter/AdapterTutorial.java""]","[""methodName1"", ""methodName2""]","[""...""]","[""...""]","[""...""]","[""...""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/AdapterTutorial.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__AdapterTutorial_001
TC-ChatListAdapter-001,Verify that the ChatListAdapter constructor initializes the userList and onItemClickListener correctly,ChatListAdapter,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""ChatListAdapter""]","[""The ChatListAdapter constructor is called with a non-null context, userList, and onItemClickListener""]","[""A non-null context, a non-empty userList, and a non-null onItemClickListener""]","[""Create a new ChatListAdapter instance with the given context, userList, and onItemClickListener""]","[""The ChatListAdapter instance is created with the given context, userList, and onItemClickListener""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListAdapter-002,Verify that the ChatListAdapter updateList method updates the userList correctly,ChatListAdapter,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""updateList""]","[""The ChatListAdapter instance is created with a non-null context, userList, and onItemClickListener""]","[""A non-empty userList""]","[""Call the updateList method with the given userList""]","[""The userList is updated with the given userList""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListAdapter-003,Verify that the ChatListAdapter onCreateViewHolder method creates a new ChatListViewHolder instance correctly,ChatListAdapter,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""onCreateViewHolder""]","[""The ChatListAdapter instance is created with a non-null context, userList, and onItemClickListener""]","[""A non-null ViewGroup parent and an int viewType""]","[""Call the onCreateViewHolder method with the given parent and viewType""]","[""A new ChatListViewHolder instance is created with the given parent and viewType""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListAdapter-004,Verify that the ChatListAdapter onBindViewHolder method binds the user data correctly,ChatListAdapter,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""onBindViewHolder""]","[""The ChatListAdapter instance is created with a non-null context, userList, and onItemClickListener""]","[""A non-null ChatListViewHolder holder and an int position""]","[""Call the onBindViewHolder method with the given holder and position""]","[""The user data is bound to the ChatListViewHolder instance correctly""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListAdapter-005,Verify that the ChatListAdapter getItemCount method returns the correct item count,ChatListAdapter,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""getItemCount""]","[""The ChatListAdapter instance is created with a non-null context, userList, and onItemClickListener""]","[""A non-empty userList""]","[""Call the getItemCount method""]","[""The method returns the correct item count""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListViewHolder-001,Verify that the ChatListViewHolder constructor initializes the userName and userAvatar correctly,ChatListViewHolder,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""ChatListViewHolder""]","[""The ChatListViewHolder constructor is called with a non-null View itemView""]","[""A non-null View itemView""]","[""Create a new ChatListViewHolder instance with the given itemView""]","[""The ChatListViewHolder instance is created with the given itemView""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatListViewHolder-002,Verify that the ChatListViewHolder userName and userAvatar are set correctly,ChatListViewHolder,"[""src/main/java/com/example/reuse/adapter/ChatListAdapter.java""]","[""ChatListViewHolder""]","[""The ChatListViewHolder instance is created with a non-null View itemView""]","[""A non-null View itemView""]","[""Set the userName and userAvatar of the ChatListViewHolder instance""]","[""The userName and userAvatar are set correctly""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatListAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatListAdapter_002
TC-ChatMessageAdapter-001,Verify that the adapter has the correct number of items,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""getItemCount""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter has 5 items""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-002,Verify that the adapter has the correct view type for sent messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""getItemViewType""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter has view type 1 for sent messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-003,Verify that the adapter has the correct view type for received messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""getItemViewType""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter has view type 2 for received messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-004,Verify that the adapter creates the correct view holder for sent messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""onCreateViewHolder""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter creates a SentMessageViewHolder for sent messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-005,Verify that the adapter creates the correct view holder for received messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""onCreateViewHolder""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter creates a ReceivedMessageViewHolder for received messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-006,Verify that the adapter binds the correct data for sent messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""bind""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter binds the correct data for sent messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-007,Verify that the adapter binds the correct data for received messages,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""bind""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter binds the correct data for received messages""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-ChatMessageAdapter-008,Verify that the adapter formats the timestamp correctly,ChatMessageAdapter,"[""src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java""]","[""formatTimestamp""]","[""messageList is not empty""]","[""messageList with 5 items""]","[""Create a ChatMessageAdapter with messageList""]","[""Adapter formats the timestamp correctly""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ChatMessageAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ChatMessageAdapter_003
TC-<Module>-###,...,...,"[""src/main/java/com/example/reuse/adapter/MyProductsAdapter.java""]","[""methodName1"", ""methodName2""]","[""...""]","[""...""]","[""...""]","[""...""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/MyProductsAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__MyProductsAdapter_004
TC-ProductAdapter-001,ProductAdapter: Test getItemCount(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""getItemCount""]","[""productList is not empty""]","[""productList with at least one item""]","[""Call getItemCount() and verify it returns the correct value""]","[""getItemCount() returns the correct value""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-002,ProductAdapter: Test onCreateViewHolder(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""onCreateViewHolder""]","[""parent is not null""]","[""parent with at least one child""]","[""Call onCreateViewHolder() and verify it returns a new ProductViewHolder""]","[""onCreateViewHolder() returns a new ProductViewHolder""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-003,ProductAdapter: Test onBindViewHolder(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""onBindViewHolder""]","[""holder is not null""]","[""holder with at least one child""]","[""Call onBindViewHolder() and verify it sets the correct values for the product""]","[""onBindViewHolder() sets the correct values for the product""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-004,ProductAdapter: Test updateList(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""updateList""]","[""newProductList is not empty""]","[""newProductList with at least one item""]","[""Call updateList() and verify it updates the productList""]","[""updateList() updates the productList""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-005,ProductAdapter: Test onUserLoaded(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""onUserLoaded""]","[""user is not null""]","[""user with at least one product""]","[""Call onUserLoaded() and verify it sets the correct values for the user""]","[""onUserLoaded() sets the correct values for the user""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-006,ProductAdapter: Test onError(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""onError""]","[""e is not null""]","[""e with at least one product""]","[""Call onError() and verify it sets the correct values for the user""]","[""onError() sets the correct values for the user""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-007,ProductAdapter: Test ProductViewHolder(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""ProductViewHolder""]","[""itemView is not null""]","[""itemView with at least one child""]","[""Call ProductViewHolder() and verify it sets the correct values for the product""]","[""ProductViewHolder() sets the correct values for the product""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductAdapter-008,ProductAdapter: Test onItemClickListener(),ProductAdapter,"[""src/main/java/com/example/reuse/adapter/ProductAdapter.java""]","[""onItemClickListener""]","[""onItemClickListener is not null""]","[""onItemClickListener with at least one product""]","[""Call onItemClickListener() and verify it sets the correct values for the product""]","[""onItemClickListener() sets the correct values for the product""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductAdapter_005
TC-ProductBroughtAdapter-001,ProductBroughtAdapter: Test getItemCount(),ProductBroughtAdapter,"[""src/main/java/com/example/reuse/adapter/ProductBroughtAdapter.java""]","[""getItemCount""]","[""productList is not empty""]","[""productList with at least one product""]","[""Call getItemCount() and verify it returns the correct number of products""]","[""getItemCount() returns the correct number of products""]",1,app,adapter_01,src/main/java/com/example/reuse/adapter/ProductBroughtAdapter.java,/content/drive/MyDrive/PHASE3_File4_TestCases/codellama__CodeLlama-7b-Instruct-hf/run_1/CODE_TESTCASES_FILEWISE/app/adapter_01__ProductBroughtAdapter_006
