"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Registration-001","User Registration","Registration","3,4","None","None","1. Open the registration form.
2. Enter user details (name, email, password).
3. Click on the 'Register' button.
4. Verify that the user is registered successfully.","User should be registered and redirected to the login page."
"TC-Login-002","User Login","Login","3,4","User must be registered.","None","1. Open the login form.
2. Enter valid user credentials (email, password).
3. Click on the 'Login' button.
4. Verify that the user is logged in successfully.","User should be logged in and redirected to the main dashboard."
"TC-Profile-003","Profile Modification","Profile","3,4","User must be logged in.","None","1. Navigate to the profile settings.
2. Modify user details (name, email, password).
3. Click on the 'Save' button.
4. Verify that the profile has been updated successfully.","User profile should be updated with the new details."
"TC-Emergency-004","Emergency Visualization","Emergency","3,4","Emergency data available.","None","1. Navigate to the emergency visualization section.
2. Verify that the list of emergencies is displayed correctly.
3. Check if filtering options are available.","List of emergencies should be displayed, and filtering options should be functional."
"TC-Emergency-005","Zone Filtering","Emergency","3,4","Emergency data available.","None","1. Apply zone filter.
2. Verify that only relevant emergencies are displayed.","Only emergencies within the selected zone should be displayed."
"TC-Task-006","Task Visualization","Task","3,4","Task data available.","None","1. Navigate to the task visualization section.
2. Verify that the list of tasks is displayed correctly.
3. Check if filtering options are available.","List of tasks should be displayed, and filtering options should be functional."
"TC-Task-007","Auto Assignment","Task","3,4","Task data available.","None","1. Set up auto assignment rules.
2. Assign a task automatically.
3. Verify that the task is assigned to a volunteer.","Task should be automatically assigned to a volunteer according to the defined rules."
"TC-Coordination-008","Coordinator Login","Coordination","3,4","Coordinator account exists.","None","1. Open the coordinator login form.
2. Enter valid coordinator credentials (email, password).
3. Click on the 'Login' button.
4. Verify that the coordinator is logged in successfully.","Coordinator should be logged in and redirected to the coordinator dashboard."
"TC-Coordination-009","Emergency Addition","Coordination","3,4","Coordinator is logged in.","None","1. Navigate to the emergency addition section.
2. Fill in the emergency details.
3. Click on the 'Add' button.
4. Verify that the emergency is added successfully.","New emergency should be added to the system."
"TC-Coordination-010","Emergency Modification","Coordination","3,4","Emergency data available.","None","1. Navigate to the emergency modification section.
2. Modify emergency details.
3. Click on the 'Save' button.
4. Verify that the emergency details have been updated successfully.","Emergency details should be updated with the new information."
"TC-Coordination-011","Task Addition","Coordination","3,4","Coordinator is logged in.","None","1. Navigate to the task addition section.
2. Fill in the task details.
3. Click on the 'Add' button.
4. Verify that the task is added successfully.","New task should be added to the system."
"TC-Coordination-012","Task Modification","Coordination","3,4","Task data available.","None","1. Navigate to the task modification section.
2. Modify task details.
3. Click on the 'Save' button.
4. Verify that the task details have been updated successfully.","Task details should be updated with the new information."
"TC-Coordination-013","Task Deletion","Coordination","3,4","Task data available.","None","1. Navigate to the task deletion section.
2. Select a task to delete.
3. Confirm the deletion.
4. Verify that the task is deleted from the system.","Selected task should be deleted from the system."
"TC-Coordination-014","Emergency Deletion","Coordination","3,4","Emergency data available.","None","1. Navigate to the emergency deletion section.
2. Select an emergency to delete.
3. Confirm the deletion.
4. Verify that the emergency is deleted from the system.","Selected emergency should be deleted from the system."
"TC-Coordination-015","Volunteer Assignment","Coordination","3,4","Task and volunteer data available.","None","1. Navigate to the volunteer assignment section.
2. Select a task and a volunteer.
3. Assign the task to the volunteer.
4. Verify that the task is assigned to the volunteer.","Task should be assigned to the selected volunteer."
"TC-Coordination-016","Volunteer Removal","Coordination","3,4","Task and volunteer data available.","None","1. Navigate to the volunteer removal section.
2. Select a task and a volunteer.
3. Remove the volunteer from the task.
4. Verify that the volunteer is removed from the task.","Volunteer should be removed from the selected task."
"TC-Coordination-017","Volunteer Login","Coordination","3,4","Volunteer account exists.","None","1. Open the volunteer login form.
2. Enter valid volunteer credentials (email, password).
3. Click on the 'Login' button.
4. Verify that the volunteer is logged in successfully.","Volunteer should be logged in and redirected to the volunteer dashboard."
"TC-Coordination-018","Notification Reception","Coordination","3,4","Volunteer is logged in.","None","1. Receive a notification of task assignment.
2. Verify that the notification is received.
3. Accept the task assignment.
4. Verify that the task is assigned to the volunteer.","Volunteer should receive and accept the task assignment notification."
"TC-Coordination-019","Notification Reception (Removal)","Coordination","3,4","Volunteer is logged in.","None","1. Receive a notification of task removal.
2. Verify that the notification is received.
3. Accept the task removal.
4. Verify that the volunteer is removed from the task.","Volunteer should receive and accept the task removal notification."
"TC-Coordination-020","Task View","Coordination","3,4","Volunteer is logged in.","None","1. Navigate to the task view section.
2. Verify that the task details are displayed correctly.
3. Check if the task status can be updated.","Task details should be displayed, and the task status should be updateable."
"TC-Coordination-021","Task Acceptance","Coordination","3,4","Volunteer is logged in.","None","1. Accept a task.
2. Verify that the task status is updated to 'accepted'.","Task status should be updated to 'accepted'."
"TC-Coordination-022","Task View (Coordinator)","Coordination","3,4","Coordinator is logged in.","None","1. Navigate to the task view section.
2. Verify that the task details are displayed correctly.
3. Check if the task status can be updated.","Task details should be displayed, and the task status should be updateable."
"TC-Coordination-023","Task Acceptance (Coordinator)","Coordination","3,4","Coordinator is logged in.","None","1. Accept a task.
2. Verify that the task status is updated to 'accepted'.","Task status should be updated to 'accepted'."
"TC-General-024","Logout","General","3,4","User is logged in.","None","1. Click on the logout button.
2. Verify that the user is logged out.","User should be logged out and redirected to the login page."
"TC-Coordination-025","Coordinator Logout","Coordination","3,4","Coordinator is logged in.","None","1. Click on the logout button.
2. Verify that the coordinator is logged out.","Coordinator should be logged out and redirected to the login page."
"TC-Coordination-026","Volunteer Logout","Coordination","3,4","Volunteer is logged in.","None","1. Click on the logout button.
2. Verify that the volunteer is logged out.","Volunteer should be logged out and redirected to the login page."
"TC-Database-027","Database Connection","Database","3,4","Database is set up.","None","1. Establish a connection to the database.
2. Verify that the connection is successful.","Database connection should be established successfully."
"TC-UserManagement-028","User Registration","User Management","9","Application installed on Android device with internet connection.","Name, Surname, Date of Birth, Email, Password, Phone Number","1. Open the application.
2. Click on the registration button.
3. Enter name, surname, date of birth, email, password, and phone number.
4. Confirm the correctness of the entered data.
5. Click on the confirm button.","A confirmation message appears indicating successful registration, and user data is saved in the database."
"TC-UserAuthentication-029","User Login","User Authentication","9, 10","Application installed on Android device with internet connection, user registered.","Email, Password","1. Open the application.
2. Click on the login button.
3. Enter email and password.
4. Confirm the correctness of the entered data.
5. Click on the confirm button.","User is authenticated and redirected to the main application screen."
"TC-UserManagement-030","Profile Modification","User Management","9","Application installed on Android device with internet connection, user logged in.","New Name, New Surname, New Date of Birth, New Email, New Password, New Phone Number","1. Open the application.
2. Click on the profile modification button.
3. Modify the fields of personal and contact information.
4. Confirm the changes.
5. Click on the confirm button.","Database is updated with new information, and the updated information is displayed immediately on the screen."
"TC-UserAuthentication-031","Coordinator Login","User Authentication","12","Application installed on Android device with internet connection, coordinator has valid code and password.","Code, Password","1. Open the application.
2. Click on the coordinator login button.
3. Enter the code and password provided by the administrator.
4. Confirm the correctness of the entered data.
5. Click on the confirm button.","Coordinator is authenticated and gains access to the application's functionalities. If the credentials are incorrect, the login attempt fails, and the coordinator is prompted to retry. <|EOF|>"
"TC-EmergencyManagement-032","Add Emergency","Emergency Management","13,14","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly.","None","1. Click the button to add an emergency.
2. Fill in the required fields for the emergency type, country (with region and province), and severity.
3. Confirm the data entry.","The emergency is correctly inserted into the database with all relevant information."
"TC-EmergencyManagement-033","Modify Emergency","Emergency Management","13,14","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The emergency to be modified was created by the same coordinator who wants to modify it.","None","1. Click the button to modify an emergency.
2. Update the required fields for the emergency type, country (with region and province), and severity.
3. Confirm the modification.","The emergency is correctly updated in the database with all relevant information."
"TC-TaskManagement-034","Add Task","Task Management","13,14","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The emergency in which the task will be added was created by the same coordinator who wants to add it.","None","1. Click the button to add a task within the emergency page.
2. Fill in the required fields for the task title, area, number of volunteers needed, and detailed information on how to perform the task.
3. Confirm the data entry.","The task is correctly inserted into the database with all relevant information."
"TC-TaskManagement-035","Modify Task","Task Management","13,14","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The task to be modified was created by the same coordinator who wants to modify it.","None","1. Click the button to modify a task.
2. Update the required fields for the task title, area, number of volunteers needed, and detailed information on how to perform the task.
3. Confirm the modification.","The task is correctly updated in the database with the new information."
"TC-TaskManagement-036","Cancel Task","Task Management","13,15","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The task to be canceled was created by the same coordinator who wants to cancel it.","None","1. Click the button to cancel a task.
2. Confirm the cancellation.","The task is correctly removed from the database."
"TC-EmergencyManagement-037","Cancel Emergency","Emergency Management","13,15","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The emergency to be canceled was created by the same coordinator who wants to cancel it.","None","1. Click the button to cancel an emergency.
2. Confirm the cancellation.","The emergency is correctly removed from the database along with all related tasks."
"TC-VolunteerManagement-038","Assign Volunteer","Volunteer Management","13,16","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The volunteer to be assigned is under the command of the same coordinator who wants to assign them.","None","1. Click the button to assign a volunteer to a task.","The volunteer receives a notification on the app and can accept it."
"TC-VolunteerManagement-039","Remove Volunteer","Volunteer Management","13,16","The application has been downloaded and installed on an Android device with internet connection. Coordinator login has been performed correctly. The volunteer to be removed is under the command of the same coordinator who wants to remove them.","None","1. Click the button to remove a volunteer from a task.","The volunteer is removed from the task list in the database."
"TC-UserAuthentication-040","Volunteer Login","User Authentication","13,16","The application has been downloaded and installed on an Android device with internet connection. The volunteer has a registered account.","None","1. Enter the code and password provided by the administrator.","The volunteer is correctly authenticated and redirected to the main application screen."
"TC-NotificationManageme-041","Receive Assignment Notification","Notification Management","13,17","The application has been downloaded and installed on an Android device with internet connection. Volunteer login has been performed correctly. The volunteer has not been previously assigned to a task.","None","1. A coordinator assigns the volunteer to a task.","The volunteer receives a notification about the assignment."
"TC-TaskManagement-042","View Task","Task Management","13,17","The application has been downloaded and installed on an Android device with internet connection. Volunteer login has been performed correctly. The volunteer has been previously assigned to a task.","None","1. Click the button to view the task.","The volunteer can view the details of the task they are currently assigned to."
"TC-TaskManagement-043","Accept Assignment","Task Management","13,18","The application has been downloaded and installed on an Android device with internet connection. Volunteer login has been performed correctly. The volunteer has received a notification of assignment.","None","1. Click the notification to accept the assignment.","The volunteer is correctly added to the task list."
"TC-NotificationManageme-044","Receive Removal Notification","Notification Management","13,18","The application has been downloaded and installed on an Android device with internet connection. Volunteer login has been performed correctly. The volunteer has been previously assigned to a task.","None","1. A coordinator removes the volunteer from a task.","The volunteer receives a notification about their removal from the task. The volunteer's data in the database is updated accordingly. <|end|>"
"TC-ProfileManagement-045","Modify Profile","Profile Management","20","User is logged in","Updated personal information","1. Navigate to the profile modification page
2. Update personal information
3. Save changes","The user's profile is updated successfully."
"TC-EmergencyManagement-046","View Emergencies","Emergency Management","20","User is logged in","None","1. Navigate to the emergency view page
2. Verify the list of current emergencies","The user can see the list of current emergencies."
"TC-EmergencyManagement-047","Filter Emergencies by Zone","Emergency Management","20","User is logged in","User's zone","1. Navigate to the emergency filter page
2. Select the user's zone
3. Search for emergencies in the selected zone","The user sees a filtered list of emergencies within their zone."
"TC-TaskManagement-048","View Tasks","Task Management","20","User is logged in","None","1. Navigate to the task view page
2. Verify the list of tasks specific to an emergency","The user can see the list of tasks specific to an emergency."
"TC-TaskManagement-049","Auto Assign/Deassign Task","Task Management","20","User is logged in","None","1. Navigate to the auto assignment page
2. Auto assign or deassign a task","The task is assigned or deassigned successfully."
"TC-Coordination-050","Add Emergency","Coordination","20","Coordinator is logged in","General details of the emergency","1. Navigate to the add emergency page
2. Enter general details of the emergency
3. Submit the form","The emergency is added successfully and visible to users."
"TC-Coordination-051","Add Task","Coordination","20","Coordinator is logged in","Specific details of the task","1. Navigate to the add task page
2. Enter specific details of the task
3. Submit the form","The task is added successfully and visible to users."
"TC-Coordination-052","Manage Task","Coordination","20","Coordinator is logged in","Task details","1. Navigate to the task management page
2. Modify a task or reassign/remove volunteers","The task is modified or volunteers are reassigned successfully."
"TC-Coordination-053","Assign/Rename Volunteer","Coordination","20","Coordinator is logged in","Volunteer details","1. Navigate to the volunteer assignment page
2. Assign or remove a volunteer from a task","The volunteer is assigned or removed successfully."
"TC-Coordination-054","Cancel Task","Coordination","20","Coordinator is logged in","Task details","1. Navigate to the cancel task page
2. Remove a task from the list","The task is canceled successfully."
"TC-Coordination-055","Receive Assignment Notification","Coordination","20","Volunteer is logged in","None","1. Verify the notification center
2. Check for notifications regarding task assignment","The volunteer receives a notification when assigned to a task."
"TC-Coordination-056","View Assigned Task","Coordination","20","Volunteer is logged in","None","1. Verify the task view page
2. Check the assigned task","The volunteer can see the task they have been assigned."
"TC-Coordination-057","Accept Assignment","Coordination","20","Volunteer is logged in","None","1. Navigate to the accept assignment page
2. Accept the task assignment","The task assignment is accepted successfully."
"TC-Coordination-058","Receive Removal Notification","Coordination","20","Volunteer is logged in","None","1. Verify the notification center
2. Check for notifications regarding task removal","The volunteer receives a notification when removed from a task. <|end|>"
"TC-Logout-059","User can log out of the application","Logout","25","User is logged into the application","None","1. Navigate to the logout option
2. Click on the logout button
3. Confirm the logout action","The user is logged out, and the application returns to the login screen."
"TC-GuideTutorial-060","User can access the guide/tutorial","Guide/Tutorial","25","Application is installed and running","None","1. Navigate to the help or tutorial section
2. Read the available guide/tutorial","The user can access and read the guide/tutorial without issues."
"TC-DataRemoval-061","Application removes user data upon uninstallation","Data Removal","26","User has used the application and then uninstalls it","None","1. Use the application
2. Uninstall the application","All user data is removed from the device."
"TC-Compatibility-062","Application is compatible with Android 7.0 and above","Compatibility","26","Device runs Android 7.0 or higher","None","1. Install the application on a device running Android 7.0 or higher
2. Launch the application","The application launches successfully and functions correctly."
"TC-Usability-063","Application interface meets usability standards","Usability","27","Application is installed and running","None","1. Open the application
2. Evaluate the interface against minimal design principles
3. Perform a user test to rate the usability","The application interface scores at least 70/100 in usability tests."
"TC-Feedback-064","User receives feedback after performing actions","Feedback","27","User performs an action within the application","None","1. Perform an action within the application
2. Verify that feedback is received","The user receives confirmation that the action was performed."
"TC-StorageLimit-065","Application does not exceed 200MB storage limit","Storage Limit","28","Application is installed on a device","None","1. Install the application
2. Check the storage usage","The application occupies less than 200MB of storage space."
"TC-ResponseTime-066","Application response time is under 3 seconds","Response Time","28","Application is installed and running","None","1. Perform a task within the application
2. Measure the response time","The response time is less than 3 seconds."
"TC-CodeQuality-067","Application follows Kotlin programming standards","Code Quality","29","Application is developed using Kotlin in Android Studio","None","1. Review the codebase
2. Ensure adherence to Kotlin standards","The codebase adheres to Kotlin programming standards."
"TC-DatabasePerformance-068","Database queries return results within 500ms","Database Performance","29","Application interacts with PostgreSQL database","None","1. Execute a database query
2. Measure the response time","Queries return results within 500ms in 90% of cases."
"TC-InternetConnection-069","Application requires constant internet connection","Internet Connection","29","Application is installed and running","None","1. Attempt to use the application without an internet connection
2. Verify that the application cannot function properly","The application requires a constant internet connection to function correctly."
"TC-PrivacyCompliance-070","Application complies with GDPR privacy regulations","Privacy Compliance","29","Application processes user data","None","1. Review the data processing practices
2. Ensure compliance with GDPR regulations","The application complies with GDPR regulations for data processing."
"TC-ProfileCancellation-071","User can cancel their profile","Profile Cancellation","29","User has a profile in the application","None","1. Navigate to the profile cancellation option
2. Confirm the cancellation
3. Verify that all associated data is removed","The user's profile and associated data are removed from the system."
"TC-UserExperience-072","Application provides a good user experience","User Experience","27","Application is installed and running","None","1. Use the application
2. Evaluate the overall user experience","The application provides a positive user experience."
"TC-DataHandling-073","Application handles data securely","Data Handling","29","Application processes user data","None","1. Review the data handling procedures
2. Ensure secure handling of user data","The application handles user data securely."
"TC-StandardAdherence-074","Application adheres to development standards","Standard Adherence","29","Application is developed using specified standards","None","1. Review the application code
2. Ensure adherence to specified standards","The application adheres to the specified development standards."
"TC-QueryPerformance-075","Database queries perform efficiently","Query Performance","29","Application interacts with PostgreSQL database","None","1. Execute a database query
2. Measure the performance","Queries perform efficiently, with results returned within 500ms in 90% of cases."
"TC-InternetDependency-076","Application depends on internet connection","Internet Dependency","29","Application is installed and running","None","1. Attempt to use the application without an internet connection
2. Verify that the application cannot function without internet","The application requires an internet connection to function."
"TC-DataRemoval-077","Application removes user data when requested","Data Removal","29","User requests data removal","None","1. Request data removal
2. Verify that all associated data is removed","The user's data is removed from the system."
"TC-DataPrivacy-078","Application protects user privacy","Data Privacy","29","Application processes user data","None","1. Review the data protection measures
2. Ensure user privacy is protected","The application protects user privacy."
"TC-DataManagement-079","Application manages data effectively","Data Management","29","Application processes user data","None","1. Review the data management practices
2. Ensure effective data management","The application manages data effectively."
"TC-DataAccessControl-080","Application ensures data access control","Data Access Control","29","Application processes user data","None","1. Review the data access controls
2. Ensure proper data access control","The application ensures proper data access control."
"TC-DataIntegrity-081","Application maintains data integrity","Data Integrity","29","Application processes user data","None","1. Review the data integrity measures
2. Ensure data integrity is maintained","The application maintains data integrity."
"TC-DataConsistency-082","Application ensures data consistency","Data Consistency","29","Application processes user data","None","1. Review the data consistency measures
2. Ensure data consistency is maintained","The application ensures data consistency."
"TC-DataAccuracy-083","Application ensures data accuracy","Data Accuracy","29","Application processes user data","None","1. Review the data accuracy measures
2. Ensure data accuracy is maintained","The application ensures data accuracy."
"TC-DataValidation-084","Application validates user data","Data Validation","29","User inputs data into the application","None","1. Input data into the application
2. Verify that the data is validated","The application validates user input data."
"TC-DataEncryption-085","Application encrypts user data","Data Encryption","29","Application processes user data","None","1. Review the data encryption methods
2. Ensure user data is encrypted","The application encrypts user data."
"TC-DataBackup-086","Application backs up user data","Data Backup","29","Application processes user data","None","1. Review the data backup procedures
2. Ensure user data is backed up","The application backs up user data."
"TC-DataLogging-087","Application logs user data","Data Logging","29","Application processes user data","None","1. Review the data logging methods
2. Ensure user data is logged","The application logs user data."
"TC-DataAccessLogs-088","Application logs data access","Data Access Logs","29","Application processes user data","None","1. Review the data access logging methods
2. Ensure data access is logged","The application logs data access."
"TC-Registration-089","User can create a profile","Registration","31","L'applicazione deve essere installata nel dispositivo.","Personal data and credentials","1. Open the application
2. Navigate to the registration page
3. Enter personal data and credentials
4. Submit the form","Al termine della registrazione l'utente potrà accedere e navigare nell'applicazione."
"TC-ProfileManagement-090","User can access their profile","Profile Management","31","L'utente deve essersi registrato.","None","1. Log into the application
2. Navigate to the profile section","L'utente può navigare all'interno dell'applicazione."
"TC-ProfileManagement-091","User can modify their profile","Profile Management","31","L'utente deve essersi registrato.","Updated personal data","1. Log into the application
2. Navigate to the profile section
3. Modify the personal data
4. Save changes","L'utente avrà modificato i propri dati nell'applicazione."
"TC-EmergencyManagement-092","User can view reported emergencies","Emergency Management","32","L'utente deve aver effettuato l'accesso.","None","1. Log into the application
2. Navigate to the emergency section","L'utente avrà visualizzato le emergenze segnalate."
"TC-EmergencyManagement-093","User can search for emergencies in their residential area","Emergency Management","32","L'utente deve aver inserito la propria zona di residenza.","Residential area","1. Log into the application
2. Search for emergencies in the residential area","L'utente potrà visualizzare le emergenze nella propria zona di residenza."
"TC-TaskManagement-094","User can view tasks related to an emergency","Task Management","32","L'utente deve aver selezionato un'emergenza.","None","1. Select an emergency
2. Navigate to the task section","L'utente potrà visualizzare i compiti specifici riguardanti un'emergenza."
"TC-TaskManagement-095","User can self-assign or de-assign from a task","Task Management","33","L'utente deve aver selezionato un compito o essersi auto assegnato ad un compito.","None","1. Select a task
2. Assign or de-assign from the task","L'utente sarà assegnato o de assegnato dal compito selezionato."
"TC-UserAuthentication-096","Coordinator can log in using an identification code","User Authentication","33","Il coordinatore deve avere il proprio codice identificativo.","Identification code","1. Enter the identification code
2. Log into the application","Il coordinatore potrà utilizzare l'applicazione."
"TC-EmergencyManagement-097","Coordinator can add an emergency","Emergency Management","33","Il coordinatore deve avere fatto l'accesso.","Emergency details","1. Log into the application
2. Add an emergency","L'emergenza verrà mostrata ai volontari."
"TC-TaskManagement-098","Coordinator can add a task","Task Management","33","Il coordinatore deve avere aggiunto un'emergenza.","Task details","1. Add an emergency
2. Add a task","Il compito verrà mostrato ai volontari."
"TC-TaskManagement-099","Coordinator can edit a task's data","Task Management","34","Il coordinatore deve avere aggiunto un compito.","Updated task details","1. Edit the task
2. Save changes","Il coordinatore avrà modificato i dati del compito."
"TC-TaskManagement-100","Coordinator can assign or de-assign volunteers from a task","Task Management","34","Il coordinatore deve avere aggiunto un compito.","List of volunteers","1. Select a task
2. Assign or de-assign volunteers","Il coordinatore avrà assegnato/de assegnato uno o più volontari ad un compito."
"TC-TaskManagement-101","Coordinator can delete a task","Task Management","34","Il coordinatore deve avere aggiunto un compito.","None","1. Select a task
2. Delete the task","Il compito non verrà più mostrato ai volontari."
"TC-UserAuthentication-102","Protection Civil volunteer can log in using an identification code","User Authentication","34","Il volontario deve aver ricevuto il codice identificativo.","Identification code","1. Enter the identification code
2. Log into the application","Il volontario potrà accedere all'applicazione."
"TC-NotificationManageme-103","Volunteer receives a notification for task assignment","Notification Management","35","Il volontario deve essere stato assegnato ad un compito.","None","1. Wait for the notification","Il volontario riceverà una notifica di assegnazione."
"TC-TaskManagement-104","Volunteer can view the assigned task","Task Management","35","Il volontario deve essere stato assegnato ad un compito.","None","1. View the assigned task","L'emergenza verrà mostrata ai volontari."
"TC-TaskManagement-105","Volunteer can accept a task","Task Management","35","Il volontario deve essere stato assegnato ad un compito.","None","1. Accept the task","Il volontario verrà mostrato come partecipante al compito."
"TC-NotificationManageme-106","Volunteer receives a notification for task removal","Notification Management","35","Il volontario deve essere stato rimosso da un compito.","None","1. Wait for the notification","Il volontario riceverà una notifica di rimozione."
"TC-UserAuthentication-107","User can log out","User Authentication","36","L'utente deve avere effettuato l'accesso.","None","1. Log out","L'utente dovrà reinserire le proprie credenziali per l'accesso."
"TC-GuideDisplay-108","User can view a guide/tutorial on application usage","Guide Display","36","L'utente deve avere effettuato l'accesso.","None","1. Access the guide/tutorial
2. Scroll through the guide/tutorial
3. Close the guide/tutorial or return to the previous screen","La guida viene visualizzata sul dispositivo e l'utente può scorrerla, chiuderla o tornare alla schermata precedente."
"TC-UserCollaboration-109","Verify the requirement for user collaboration","User Collaboration","38","None","None","1. An emergency situation occurs
2. An emergency responder attempts to assign a task to another responder
3. Another responder is not available","Serious measures will be taken against the responder who attempted to assign a task without availability."
"TC-DatabaseUsage-110","Verify the requirement for database type","Database Usage","38","None","None","1. Check the type of database used for storing emergency reports, tasks, and user credentials","The database should be SQLite with high data security."
"TC-DeviceSpecifications-111","Verify the minimum device operating system requirement","Device Specifications","38","None","None","1. Check the minimum required operating system version for the application","The application should support Android 7.0 or higher."
"TC-DeviceSpecifications-112","Verify the minimum device RAM requirement","Device Specifications","38","None","None","1. Check the minimum required RAM for the application to run smoothly","The application should require at least 1 GB of RAM."
"TC-DeviceSpecifications-113","Verify the minimum device storage requirement","Device Specifications","38","None","None","1. Check the minimum required free storage space for the application installation","The application should require at least 200 MB of free storage space."
"TC-EnvironmentalNeeds-114","Verify the internet connection requirement","Environmental Needs","38","None","None","1. Ensure the application can function properly with a good internet connection","The application should be able to load data when connected to the internet."
