"Test Case ID","Title","Module","Source Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-UserAuthentication-001","Successful User Registration","User Authentication","3","User has an Android device with internet access, app is installed","Valid email (e.g., test@example.com), strong password (e.g., P@ssw0rd!), full name (e.g., John Doe)","1. Open the app and navigate to the registration screen.
2. Enter the full name in the ""Name"" field.
3. Enter a valid email address in the ""Email"" field.
4. Enter a strong password in the ""Password"" field.
5. Re-enter the same password in the ""Confirm Password"" field.
6. Click the ""Register"" button.","User account is created successfully, and the user is redirected to the login screen with a confirmation message (e.g., ""Registration successful. Please log in."").
--"
"TC-UserAuthentication-002","Failed User Registration with Weak Password","User Authentication","3","User has an Android device with internet access, app is installed","Valid email (e.g., test@example.com), weak password (e.g., 12345), full name (e.g., John Doe)","1. Open the app and navigate to the registration screen.
2. Enter the full name in the ""Name"" field.
3. Enter a valid email address in the ""Email"" field.
4. Enter a weak password in the ""Password"" field.
5. Re-enter the same weak password in the ""Confirm Password"" field.
6. Click the ""Register"" button.","Registration fails, and an error message appears (e.g., ""Password must be at least 8 characters long and include uppercase, lowercase, number, and special character."").
--"
"TC-UserAuthentication-003","Successful User Login","User Authentication","3","User is registered and has valid credentials","Registered email (e.g., test@example.com), correct password (e.g., P@ssw0rd!)","1. Open the app and navigate to the login screen.
2. Enter the registered email in the ""Email"" field.
3. Enter the correct password in the ""Password"" field.
4. Click the ""Login"" button.","User is logged in successfully and redirected to the home screen with their profile name displayed.
--"
"TC-UserAuthentication-004","Failed User Login with Incorrect Password","User Authentication","3","User is registered","Registered email (e.g., test@example.com), incorrect password (e.g., WrongPass)","1. Open the app and navigate to the login screen.
2. Enter the registered email in the ""Email"" field.
3. Enter an incorrect password in the ""Password"" field.
4. Click the ""Login"" button.","Login fails, and an error message appears (e.g., ""Invalid email or password."").
--"
"TC-AnnouncementManageme-005","Add a New Announcement","Announcement Management","3","User is logged in","Title (e.g., ""Community Cleanup""), description (e.g., ""Join us for a cleanup event on Saturday""), date (e.g., 2024-11-01), location (e.g., ""Central Park""), category (e.g., ""Cleanup"")","1. Logged-in user navigates to the ""Add Announcement"" screen.
2. Enters the title in the ""Title"" field.
3. Enters the description in the ""Description"" field.
4. Selects the date from the calendar picker.
5. Enters the location in the ""Location"" field.
6. Selects the category from the dropdown menu.
7. Clicks the ""Post Announcement"" button.","Announcement is published successfully, and the user is redirected to the announcement feed with a confirmation message (e.g., ""Announcement posted successfully!"").
--"
"TC-AnnouncementManageme-006","Participate in an Announcement Event","Announcement Management","3","User is logged in, at least one announcement exists","Existing announcement (e.g., ""Community Cleanup"")","1. Logged-in user navigates to the announcement feed.
2. Selects an existing announcement to view details.
3. Clicks the ""Participate"" button.","User’s participation is recorded, and a confirmation message appears (e.g., ""You have successfully joined the event!"").
--"
"TC-ProfileManagement-007","Modify User Profile","Profile Management","3","User is logged in","Updated full name (e.g., ""Johnathan Doe""), updated bio (e.g., ""Environmental enthusiast"")","1. Logged-in user navigates to the profile screen.
2. Clicks the ""Edit Profile"" button.
3. Updates the full name in the ""Name"" field.
4. Enters or updates a bio in the ""Bio"" field.
5. Clicks the ""Save Changes"" button.","Profile is updated successfully, and changes are reflected on the profile screen with a confirmation message (e.g., ""Profile updated successfully!"").
--"
"TC-AnnouncementManageme-008","View and Modify Own Announcement","Announcement Management","3","User is logged in, user has posted at least one announcement","Existing announcement (e.g., ""Community Cleanup""), updated title (e.g., ""Updated Community Cleanup""), updated description (e.g., ""Event rescheduled to Sunday"")","1. Logged-in user navigates to the announcement feed.
2. Selects their own announcement to view details.
3. Clicks the ""Edit"" button.
4. Updates the title and description.
5. Clicks the ""Save Changes"" button.","Announcement is updated successfully, and changes are reflected in the feed with a confirmation message (e.g., ""Announcement updated successfully!"").
--"
"TC-UserRegistration-009","First-time user registration flow","User Registration","9","Application is installed and launched for the first time","Valid user data (name, email, password, phone)","1. Launch the application for the first time
2. Navigate to the registration screen automatically displayed
3. Fill in all required fields with valid test data
4. Submit the registration form","New user account is created in the database, and the user gains access to app functionalities"
"TC-ProfileManagement-010","Modify user profile information","Profile Management","12","User is logged in and on the profile viewing screen","Updated email and phone number","1. Navigate to the profile modification section within the profile viewing screen
2. Enter new email and phone number
3. Submit changes","Profile information is updated in the database with the new email and phone number"
"TC-AnnouncementCreation-011","Create a Standard Announcement","Announcement Creation","13","User has logged into their profile","Valid announcement details (title, description, optional customization)","1. User navigates to the announcement creation section.
2. User presses the designated icon to create an announcement.
3. User fills in the required fields (title, description).
4. User submits the form.","Announcement is saved in the database and becomes visible to other users in the app."
"TC-AnnouncementCreation-012","Create a Special Event Announcement","Announcement Creation","13","User has logged into their profile","Valid event details (title, description, event-specific fields)","1. User navigates to the announcement creation section.
2. User selects the option to create a special event announcement.
3. User fills in the required fields (title, description, event details).
4. User submits the form.","Event announcement is saved in the database and becomes visible to other users in the app."
"TC-AnnouncementModifica-013","Modify an Existing Announcement","Announcement Modification","14","User has logged into their profile and has at least one published announcement","Updated announcement details (title, description, or other customizable fields)","1. User views their list of published announcements.
2. User clicks the modification icon next to the announcement they want to edit.
3. User updates the announcement details.
4. User saves the changes.","Announcement details in the database are updated, and changes are reflected in the app."
"TC-UserAccountManagemen-014","New User Registration","User Account Management","22","Application is opened for the first time by a new user","Valid email, password, name, and other required registration fields","1. Open the application for the first time.
2. Navigate to the registration screen (if prompted automatically).
3. Fill in the registration form with valid data (email, password, name, etc.).
4. Submit the registration form.","A new user account is successfully created, and the user is redirected to the login screen or home screen."
"TC-UserAccountManagemen-015","Successful User Login","User Account Management","23","User account is already registered in the system","Valid username/email and password","1. Navigate to the login screen.
2. Enter the registered email/username and correct password.
3. Click the login button.","User is successfully logged in and redirected to their profile or home screen."
"TC-UserAccountManagemen-016","Failed User Login with Incorrect Credentials","User Account Management","23","User account is already registered in the system","Registered email/username and incorrect password","1. Navigate to the login screen.
2. Enter the registered email/username and incorrect password.
3. Click the login button.","System displays an error message indicating invalid credentials and does not grant access."
"TC-UserProfileManagemen-017","View Own Profile","User Profile Management","24","User is logged in to the application","None","1. Log in to the application.
2. Navigate to the profile section.
3. View the displayed profile information.","User’s profile is displayed correctly, including all relevant details (e.g., name, email, and other stored information)."
"TC-ProfileManagement-018","Modify User Profile Data","Profile Management","25","User is logged in to the application.","Valid user credentials, updated profile data (e.g., name, email, or other editable fields).","1. Navigate to the profile section of the application.
2. Select the option to edit profile data.
3. Update one or more fields (e.g., name, email).
4. Confirm the changes by selecting the ""Save"" or ""Update"" button.","The updated profile data is saved successfully, and the user sees a confirmation message or the updated data reflected in the profile."
"TC-AnnouncementCreation-019","Create an Announcement","Announcement Creation","26","User is logged in to the application.","Valid announcement details (e.g., title, description, type such as event, date/time if applicable).","1. Navigate to the section for creating announcements.
2. Select the option to create a new announcement.
3. Fill in the required fields (e.g., title, description, type).
4. Select the ""Create"" or ""Post"" button.","The announcement is created successfully, and the user sees a confirmation message or the newly created announcement in their list."
"TC-AnnouncementViewing-020","View Announcements by Other Users","Announcement Viewing","27","At least one announcement exists in the system created by another user.","None (system-generated or pre-existing announcements).","1. Navigate to the section for viewing announcements.
2. Browse through the list of announcements.
3. Select an announcement created by another user.","The selected announcement is displayed with all its details (e.g., title, description, creator info)."
"TC-Authentication-021","Log Out from Application","Authentication","28","User is logged in to the application.","None.","1. Navigate to the logout option in the application.
2. Select the ""Log Out"" button or option.","The user is successfully logged out, and the application redirects to the login screen or home screen without the user's profile data visible."
