"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-ACCESS-001","First Access Check","Access","1","User has not accessed the application before.","None","1. Access the application.
2. Check if the application redirects to the first access check.","The application redirects to the first access check."
"TC-ACCESS-002","No First Access","Access","1","User has not accessed the application before.","None","1. Proceed through the first access check (NO).
2. Check if the application redirects to the registration process.","The application redirects to the registration process."
"TC-ACCESS-003","Yes First Access","Access","1","User has accessed the application before.","None","1. Access the application.
2. Check if the application redirects to the login process.","The application redirects to the login process."
"TC-JOURNEY-001","Journey Start","Journey","2","User is on the home screen.","None","1. Select the ""Start Journey"" option.
2. Check if the journey starts.","The journey starts."
"TC-JOURNEY-002","Journey Completion","Journey","2","User is on an ongoing journey.","None","1. Check if the journey is completed.","The journey is not completed."
"TC-JOURNEY-003","Journey Completion and Emission Calculation","Journey","2","User has completed a journey.","None","1. Complete a journey.
2. Check if the emissions are calculated.","The emissions are calculated."
"TC-STATISTICS-001","Weekly Report Generation","Statistics","3","User is on the statistics screen.","None","1. Select the ""View Weekly Report"" option.
2. Check if the weekly report is generated.","The weekly report is generated."
"TC-STATISTICS-002","Account Update","Profile Management","4","User is on the personal data screen.","New personal data","1. Select the ""Update Account"" option.
2. Enter new personal data.
3. Save the changes.
4. Check if the personal data is updated.","The personal data is updated."
"TC-STATISTICS-003","Logout","Profile Management","4","User is logged in.","None","1. Select the ""Logout"" option.
2. Check if the user is logged out.","The user is logged out."
"TC-STATISTICS-004","Section Change","Profile Management","4","User is on the personal data screen.","None","1. Select the ""Change Section"" option.
2. Check if the user is redirected to the horizontal menu.","The user is redirected to the horizontal menu."
"TC-LOGIN-001","Login Success","Login","5","User provides valid credentials.","Valid username and password","1. Enter the username and password.
2. Submit the login form.
3. Check if the login is successful.","The login is successful."
"TC-LOGIN-002","Login Failure","Login","5","User provides invalid credentials.","Invalid username and password","1. Enter the username and password.
2. Submit the login form.
3. Check if the login is unsuccessful.","The login is unsuccessful."
"TC-ROUTE-001","Route Calculation","Route Calculation","6","User is on the home screen.","None","1. Select the ""Start Journey"" option.
2. Check if the route calculation starts.","The route calculation starts."
"TC-ROUTE-002","Emission Calculation","Route Calculation","6","User has a calculated route.","None","1. Check if the emissions are calculated.","The emissions are calculated."
"TC-ROUTE-003","New Route Provision","Route Calculation","6","User has a calculated route.","New route","1. Provide a new route.
2. Check if the new route is added.","The new route is added."
"TC-ROUTE-004","Emission Return","Route Calculation","6","User has a calculated route.","None","1. Check if the emissions are returned.","The emissions are returned."
