"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Login-001","Successful Login","Login","1, 2","User exists in the system and has valid credentials.","Valid email and password.","1. Navigate to the login page.
2. Enter the valid email and password.
3. Click the ""Login"" button.","User is successfully logged in and redirected to the home page."
"TC-Login-002","Invalid Email","Login","1, 2","User exists in the system but enters an invalid email.","Invalid email.","1. Navigate to the login page.
2. Enter the invalid email and valid password.
3. Click the ""Login"" button.","An error message is displayed, and the user is not logged in."
"TC-Login-003","Invalid Password","Login","1, 2","User exists in the system but enters an invalid password.","Invalid password.","1. Navigate to the login page.
2. Enter the valid email and invalid password.
3. Click the ""Login"" button.","An error message is displayed, and the user is not logged in."
"TC-Registration-001","Successful Registration","Registration","1, 2","User does not exist in the system.","Valid email, password, and personal information.","1. Navigate to the registration page.
2. Enter the valid email, password, and personal information.
3. Click the ""Register"" button.","User is successfully registered, and an account creation confirmation is sent to the provided email."
"TC-Registration-002","Invalid Email","Registration","1, 2","User does not exist in the system but enters an invalid email.","Invalid email.","1. Navigate to the registration page.
2. Enter the invalid email, valid password, and personal information.
3. Click the ""Register"" button.","An error message is displayed, and the user is not registered."
"TC-Registration-003","Existing Email","Registration","1, 2","User with the same email already exists in the system.","Existing email, valid password, and personal information.","1. Navigate to the registration page.
2. Enter the existing email, valid password, and personal information.
3. Click the ""Register"" button.","An error message is displayed, and the user is not registered."
"TC-Exchange-001","Successful Exchange Proposal","Exchange Proposal","3, 4, 5","User is logged in and has items to exchange.","Valid exchange items.","1. Navigate to the exchange page.
2. Select the items to exchange.
3. Click the ""Propose Exchange"" button.","The exchange proposal is successfully created and displayed to the user."
"TC-Exchange-002","Invalid Exchange Proposal","Exchange Proposal","3, 4, 5","User is logged in but selects invalid items for exchange.","Invalid exchange items.","1. Navigate to the exchange page.
2. Select the invalid items for exchange.
3. Click the ""Propose Exchange"" button.","An error message is displayed, and the exchange proposal is not created."
"TC-Exchange-003","Accepted Exchange","Exchange Acceptance","6, 7, 8","User is logged in and has an exchange proposal.","Valid exchange items.","1. Navigate to the exchange page.
2. Accept the exchange proposal.","The exchange is successfully completed, and the items are exchanged between the users."
"TC-Exchange-004","Rejected Exchange","Exchange Acceptance","6, 7, 8","User is logged in and has an exchange proposal.","Valid exchange items.","1. Navigate to the exchange page.
2. Reject the exchange proposal.","The exchange proposal is rejected, and the items remain with the original owner."
"TC-Filter-001","Successful Filter Application","Filter Application","9","User is logged in and has access to the items list.","Valid filter criteria.","1. Navigate to the items list page.
2. Apply the valid filter criteria.","The items list is filtered according to the specified criteria, and only the relevant items are displayed."
"TC-Filter-002","Invalid Filter Application","Filter Application","9","User is logged in and has access to the items list.","Invalid filter criteria.","1. Navigate to the items list page.
2. Apply the invalid filter criteria.","An error message is displayed, and the items list remains unfiltered."
"TC-Profile-001","Successful Profile Update","Profile Update","10, 11","User is logged in and wants to update their profile.","Valid personal information.","1. Navigate to the profile page.
2. Update the personal information.
3. Click the ""Save"" button.","The personal information is successfully updated, and the profile is displayed with the new information."
"TC-Profile-002","Invalid Profile Update","Profile Update","10, 11","User is logged in and wants to update their profile with invalid information.","Invalid personal information.","1. Navigate to the profile page.
2. Update the invalid personal information.
3. Click the ""Save"" button.","An error message is displayed, and the personal information remains unchanged."
