"Test Case ID","Title","Module","Source UML Pages","Preconditions","Test Data","Test Steps","Expected Result"
"TC-Login-001","Successful Login","LOGIN","1","User has registered and provided correct credentials.","username = ""testuser"", password = ""testpassword""","1. Enter ""testuser"" as the username.
2. Enter ""testpassword"" as the password.
3. Click the login button.","User is logged in successfully and redirected to the main menu."
"TC-Login-002","Incorrect Password","LOGIN","1","User has registered and provided incorrect credentials.","username = ""testuser"", password = ""wrongpassword""","1. Enter ""testuser"" as the username.
2. Enter ""wrongpassword"" as the password.
3. Click the login button.","An error message is displayed indicating incorrect password."
"TC-Login-003","Empty Username","LOGIN","1","User has registered and left the username field empty.","username = """", password = ""testpassword""","1. Leave the username field empty.
2. Enter ""testpassword"" as the password.
3. Click the login button.","An error message is displayed indicating the need to enter a username."
"TC-SignUp-001","Successful Sign Up","SIGN UP","1","User has not registered yet.","username = ""newuser"", password = ""newpassword"", email = ""newuser@example.com""","1. Enter ""newuser"" as the username.
2. Enter ""newpassword"" as the password.
3. Enter ""newuser@example.com"" as the email.
4. Click the sign up button.","User is signed up successfully and redirected to the main menu."
"TC-SignUp-002","Duplicate Username","SIGN UP","1","User has already registered with the same username.","username = ""existinguser"", password = ""existingpassword"", email = ""existinguser@example.com""","1. Enter ""existinguser"" as the username.
2. Enter ""existingpassword"" as the password.
3. Enter ""existinguser@example.com"" as the email.
4. Click the sign up button.","An error message is displayed indicating the username is already taken."
"TC-Geolocation-001","Successful Geolocation","GEOLOCALIZZAZIONE","1","User is logged in.","latitude = 45.4642, longitude = 9.1900","1. Enter ""45.4642"" as the latitude.
2. Enter ""9.1900"" as the longitude.
3. Click the geolocate button.","User's location is geolocated successfully."
"TC-CreationAnnouncement-001","Successful Creation of Announcement","CREAZIONE ANNUNCIO","1","User is logged in.","title = ""Test Announcement"", description = ""This is a test announcement."", price = 10.00","1. Enter ""Test Announcement"" as the title.
2. Enter ""This is a test announcement."" as the description.
3. Enter ""10.00"" as the price.
4. Click the create announcement button.","Announcement is created successfully and redirected to the main menu."
"TC-BookAnnouncement-001","Successful Booking of Announcement","PRENOTAZIONE ANNUNCIO","1","User has created an announcement.","announcementId = 1","1. Enter ""1"" as the announcementId.
2. Click the book announcement button.","Announcement is booked successfully and redirected to the main menu."
"TC-FilterAnnouncements-001","Successful Filtering of Announcements","FILTRAGGIO ANNUNCI","1","User has created an announcement.","category = ""Electronics""","1. Enter ""Electronics"" as the category.
2. Click the filter announcements button.","Announcements are filtered successfully and redirected to the main menu."
"TC-AcceptAnnouncement-001","Successful Acceptance of Announcement","ACCETTAZIONE ANNUNCIO","1","User has filtered an announcement.","announcementId = 1","1. Enter ""1"" as the announcementId.
2. Click the accept announcement button.","Announcement is accepted successfully and redirected to the main menu."
"TC-ViewAnnouncement-001","Successful Viewing of Announcement","VISUALIZZAZIONE ANNUNCI","1","User has accepted an announcement.","announcementId = 1","1. Enter ""1"" as the announcementId.
2. Click the view announcement button.","Announcement is viewed successfully and redirected to the main menu."
