item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",1,TC-Homepage-001,0.8663314580917358,"test case id: tc-homepage-001 title: user navigates to the configuration page module: homepage source pages: 1 preconditions: user is on the homepage. test data: test steps: 1. click on the ""click impostazioni"" button. 2. verify that the ""apertura pagina impostazioni"" page opens. expected result: the ""apertura pagina impostazioni"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",2,TC-Homepage-002,0.8347302675247192,"test case id: tc-homepage-002 title: user clicks on a new place module: homepage source pages: 1 preconditions: user is on the homepage and has navigated to the configuration page. test data: test steps: 1. click on the ""click sul luogo"" button. 2. verify that the ""apertura pagina luogo dettagliata"" page opens. expected result: the ""apertura pagina luogo dettagliata"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",3,TC-PaginaDettagliata-004,0.8260790109634399,"test case id: tc-paginadettagliata-004 title: user returns to homepage module: pagina dettagliata source pages: 2 preconditions: user is on the ""ritorno ad homepage"" page. test data: test steps: 1. click on the ""modifica preferenze"" link. 2. verify that the ""ritorno ad homepage"" page redirects to the ""pagina dettagliata"" page. expected result: the user should return to the ""pagina dettagliata"" page."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",4,TC-Homepage-003,0.8030248880386353,"test case id: tc-homepage-003 title: user clicks on the pathfinder module: homepage source pages: 1 preconditions: user is on the homepage and has navigated to the configuration page. test data: test steps: 1. click on the ""click pathfinder"" button. 2. verify that the ""apertura pagina pathfinder"" page opens. expected result: the ""apertura pagina pathfinder"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",5,TC-PaginaDettagliata-005,0.7967115640640259,"test case id: tc-paginadettagliata-005 title: user modifies preferences module: pagina dettagliata source pages: 2 preconditions: user is on the ""pagina dettagliata"" page. test data: test steps: 1. click on the ""modifica preferenze"" link. 2. verify that the ""ritorno ad homepage"" page opens. expected result: the ""ritorno ad homepage"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",6,TC-AperturaPathfinder-002,0.7960501909255981,"test case id: tc-aperturapathfinder-002 title: user selects a response module: apertura pagina pathfinder source pages: 3 preconditions: user is on the ""visualizzazione domanda"" page. test data: test steps: 1. click on the ""scelta risposta"" button. 2. verify that the ""visualizzazione luogo suggerito"" page opens. expected result: the ""visualizzazione luogo suggerito"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",7,TC-PaginaDettagliata-001,0.7927825450897217,"test case id: tc-paginadettagliata-001 title: user navigates to the system map module: pagina dettagliata source pages: 2 preconditions: user is on the ""pagina dettagliata"" page. test data: test steps: 1. click on the ""click 'navigate'"" button. 2. verify that the ""apertura mappa di sistema"" transition occurs. expected result: the system map should be opened."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",8,TC-AperturaPathfinder-001,0.7904041409492493,"test case id: tc-aperturapathfinder-001 title: user navigates back from pathfinder module: apertura pagina pathfinder source pages: 3 preconditions: user is on the ""apertura pagina pathfinder"" page. test data: test steps: 1. click on the ""click 'indietro'"" button. 2. verify that the ""visualizzazione domanda"" page opens. expected result: the ""visualizzazione domanda"" page should open successfully."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",9,TC-Negative-001,0.7891871929168701,"test case id: tc-negative-001 title: user clicks on an invalid button module: homepage source pages: 1 preconditions: user is on the homepage. test data: invalid button click test steps: 1. click on an invalid button. expected result: no action should occur, and the user should remain on the homepage."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",10,TC-Homepage-004,0.783993124961853,"test case id: tc-homepage-004 title: user swipes to confirm module: homepage source pages: 1 preconditions: user is on the ""apertura pagina pathfinder"" page. test data: test steps: 1. perform a swipe action on the ""apertura pagina pathfinder"" page. 2. verify that the ""swipe verso fatto"" button is activated. expected result: the ""swipe verso fatto"" button should be activated after the swipe."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",11,TC-Edge-002,0.7796737551689148,"test case id: tc-edge-002 title: user navigates through all pages with interaction module: pagina dettagliata source pages: 2 preconditions: user is on the ""pagina dettagliata"" page. test data: test steps: 1. navigate through all pages with interaction (clicking buttons, opening links, etc.). expected result: the user should be able to navigate through all pages with interaction without any errors."
flow,"homepage -> click impostazioni — type=link; label=""no""; explanation=""click on the configuration button""",12,TC-PaginaDettagliata-002,0.7748891711235046,"test case id: tc-paginadettagliata-002 title: user opens yelp in browser module: pagina dettagliata source pages: 2 preconditions: user is on the ""pagina dettagliata"" page and has navigated to the system map. test data: test steps: 1. click on the ""click 'open in browser'"" button. 2. verify that the ""apertura sito yelp sul browser"" transition occurs. expected result: the yelp site should open in the browser."
